domain,company_name,company_linkedin,website,employees,employee_range,year_founded,company_type,industry,hq_city,hq_region,hq_country,description,campaign,sourcing_reasoning
jjvision.com,Johnson & Johnson | Vision,-,http://www.jjvision.com,5425,5001-10000,-,Public Company,Medical Equipment Manufacturing,Jacksonville,Florida,United States,"As a leader in eye health and part of Johnson & Johnson MedTech, we are driven by a bold ambition: Vision Made Possible™— paving the way for a new future of eye health to support the full spectrum of pediatric, adult and aging eyes.   Our priority is to deliver on the eye health needs of more than 44 million patients around the world every year. Poor eye health has reached epidemic proportions and access to care around the world remains inequitable and disconnected – and we believe that we have ","New Leader, Old Portfolio","Matched filter for multi-brand medtech/diagnostics companies at $250M-$3B scale proxy (5425 employees, industry='Medical Equipment Manufacturing'). Segment additionally requires 3+ distinct product brands into overlapping call points AND a leadership role change 30-75 days ago — neither the brand-count nor the recent-hire trigger is verified by this firmographic pull; both must be checked per company (LinkedIn role-change date, brand portfolio) before outreach."
bbraunusa.com,B. Braun Medical Inc. (US),-,http://www.bbraunusa.com,7620,10001+,-,Privately Held,Medical Equipment Manufacturing,Bethlehem,Pennsylvania,United States,"B. Braun Medical Inc., a leader in infusion therapy and pain management, develops, manufactures, and markets innovative medical products and services to the healthcare industry. Other key product areas include nutrition, pharmacy admixture and dialysis. The company is committed to eliminating preventable treatment errors and enhancing patient, clinician and environmental safety. B. Braun Medical is headquartered in Bethlehem, PA and is part of the  B. Braun Group of Companies in the U.S., which ","New Leader, Old Portfolio","Matched filter for multi-brand medtech/diagnostics companies at $250M-$3B scale proxy (7620 employees, industry='Medical Equipment Manufacturing'). Segment additionally requires 3+ distinct product brands into overlapping call points AND a leadership role change 30-75 days ago — neither the brand-count nor the recent-hire trigger is verified by this firmographic pull; both must be checked per company (LinkedIn role-change date, brand portfolio) before outreach."
coopervision.com,CooperVision,-,http://www.coopervision.com,7615,5001-10000,-,Public Company,Medical Equipment Manufacturing,San Ramon,California,United States,"CooperVision, a unit of The Cooper Companies, Inc. (NASDAQ: COO), is one of the world’s leading manufacturers of soft contact lenses. The Company produces a full array of monthly, two-week and daily disposable contact lenses, all featuring advanced materials and optics. CooperVision has a strong heritage of solving the toughest vision challenges such as astigmatism and presbyopia; and offers the most complete collection of spherical, toric and multifocal products available. Through a combination","New Leader, Old Portfolio","Matched filter for multi-brand medtech/diagnostics companies at $250M-$3B scale proxy (7615 employees, industry='Medical Equipment Manufacturing'). Segment additionally requires 3+ distinct product brands into overlapping call points AND a leadership role change 30-75 days ago — neither the brand-count nor the recent-hire trigger is verified by this firmographic pull; both must be checked per company (LinkedIn role-change date, brand portfolio) before outreach."
terumomedical.com,Terumo Medical Corporation,-,http://www.terumomedical.com,2904,1001-5000,1972,Public Company,Medical Equipment Manufacturing,Somerset,New Jersey,United States,"Our Promise  At Terumo, everything starts with our unwavering commitment to patients.  Listening sincerely to their needs and deeply understanding their hopes and aspirations, we boldly pursue innovative ways to help enhance the lives of patients around the world.  Our Promise Story   Terumo was founded by a group of physicians and scientists to support the lives of people. Ever since then, we have been doing all we can to advance healthcare and enhance patients’ quality of life.  This mindset, ","New Leader, Old Portfolio","Matched filter for multi-brand medtech/diagnostics companies at $250M-$3B scale proxy (2904 employees, industry='Medical Equipment Manufacturing'). Segment additionally requires 3+ distinct product brands into overlapping call points AND a leadership role change 30-75 days ago — neither the brand-count nor the recent-hire trigger is verified by this firmographic pull; both must be checked per company (LinkedIn role-change date, brand portfolio) before outreach."
cookmedical.com,Cook Medical,-,http://www.cookmedical.com,8267,10001+,1963,Privately Held,Medical Equipment Manufacturing,Bloomington,Indiana,United States,"At Cook, we are building our future on Invention, Connection, People, and Community.  As a privately owned company, we can look at the world our own way and do what we feel passionate about. What are we passionate about? That’s simple: Making unique, quality products and connecting with people to improve lives on both sides of the device.  Central to our focus on building deep connections is our belief in the importance of identifying innovative solutions to help customers, patients, employees, ","New Leader, Old Portfolio","Matched filter for multi-brand medtech/diagnostics companies at $250M-$3B scale proxy (8267 employees, industry='Medical Equipment Manufacturing'). Segment additionally requires 3+ distinct product brands into overlapping call points AND a leadership role change 30-75 days ago — neither the brand-count nor the recent-hire trigger is verified by this firmographic pull; both must be checked per company (LinkedIn role-change date, brand portfolio) before outreach."
ethicon.com,"Ethicon, Inc.",-,http://www.ethicon.com,4936,10001+,-,Public Company,Medical Equipment Manufacturing,Somerville,New Jersey,United States,"For over 100 years, Ethicon has stood side by side with healthcare professionals around the world, sharing the same passion to improve and save lives. From the creation of the first sutures, to revolutionizing surgery with minimally invasive procedures, we are committed to advancing surgical care so that patients live longer, more fulfilling lives. Our surgical technologies and solutions include sutures, staplers, energy devices, trocars and hemostats along with interventional ablation, robotics","New Leader, Old Portfolio","Matched filter for multi-brand medtech/diagnostics companies at $250M-$3B scale proxy (4936 employees, industry='Medical Equipment Manufacturing'). Segment additionally requires 3+ distinct product brands into overlapping call points AND a leadership role change 30-75 days ago — neither the brand-count nor the recent-hire trigger is verified by this firmographic pull; both must be checked per company (LinkedIn role-change date, brand portfolio) before outreach."
steris.com,STERIS,-,https://www.steris.com,11008,10001+,1985,Public Company,Medical Equipment Manufacturing,Mentor,Ohio,United States,"STERIS is a leading provider of infection prevention and other procedural products and services, focused primarily on healthcare, pharmaceutical and medical device Customers.  MISSION WE HELP OUR CUSTOMERS CREATE A HEALTHIER AND SAFER WORLD by providing innovative healthcare and life science products and services around the globe.  VISION We strive to be a GREAT COMPANY. We provide world-class products and services for our Customers, safe and rewarding work for our people, and superior returns f","New Leader, Old Portfolio","Matched filter for multi-brand medtech/diagnostics companies at $250M-$3B scale proxy (11008 employees, industry='Medical Equipment Manufacturing'). Segment additionally requires 3+ distinct product brands into overlapping call points AND a leadership role change 30-75 days ago — neither the brand-count nor the recent-hire trigger is verified by this firmographic pull; both must be checked per company (LinkedIn role-change date, brand portfolio) before outreach."
zoll.com,ZOLL Medical Corporation,-,http://www.zoll.com,6271,5001-10000,-,Privately Held,Medical Equipment Manufacturing,Chelmsford,Massachusetts,United States,"At ZOLL®, we’re passionate about improving patient outcomes and helping save lives.  ZOLL provides innovative technologies that make a meaningful difference in people's lives. Our medical devices, software, and related services are used worldwide to diagnose and treat patients suffering from serious cardiopulmonary and respiratory conditions.  Founded in 1980, ZOLL is named after Dr. Paul Zoll, whose pioneering work in cardiology and resuscitation earned him the nickname “The Father of Modern Ca","New Leader, Old Portfolio","Matched filter for multi-brand medtech/diagnostics companies at $250M-$3B scale proxy (6271 employees, industry='Medical Equipment Manufacturing'). Segment additionally requires 3+ distinct product brands into overlapping call points AND a leadership role change 30-75 days ago — neither the brand-count nor the recent-hire trigger is verified by this firmographic pull; both must be checked per company (LinkedIn role-change date, brand portfolio) before outreach."
sjm.com,St. Jude Medical,-,http://www.sjm.com,5896,10001+,1976,Public Company,Medical Equipment Manufacturing,Oakdale,Minnesota,United States,"St. Jude Medical is now Abbott. We are a global medical device manufacturer dedicated to transforming the treatment of some of the world’s most expensive epidemic diseases. We do this by developing cost-effective medical technologies that save and improve lives.   St. Jude Medical provides safe and effective technologies that are of the highest quality—and that quality is something we take very seriously because we know patients around the world rely on our technologies. Our approximately 18,0","New Leader, Old Portfolio","Matched filter for multi-brand medtech/diagnostics companies at $250M-$3B scale proxy (5896 employees, industry='Medical Equipment Manufacturing'). Segment additionally requires 3+ distinct product brands into overlapping call points AND a leadership role change 30-75 days ago — neither the brand-count nor the recent-hire trigger is verified by this firmographic pull; both must be checked per company (LinkedIn role-change date, brand portfolio) before outreach."
carestream.com,Carestream,-,http://www.carestream.com,3908,1001-5000,2007,Privately Held,Medical Equipment Manufacturing,Rochester,New York,United States,"Carestream's products make a difference every day.  Carestream Health is a worldwide imaging company. We provide digital X-ray products and X-ray film for the medical and non-destructive testing market worldwide. We also provide product, technical, and service support, including remote equipment and software management services. In addition, we own over 1,000 patents in digital imaging, film, and imaging chemistry.   Originally part of Eastman Kodak, Carestream was founded in 2007. Today, our la","New Leader, Old Portfolio","Matched filter for multi-brand medtech/diagnostics companies at $250M-$3B scale proxy (3908 employees, industry='Medical Equipment Manufacturing'). Segment additionally requires 3+ distinct product brands into overlapping call points AND a leadership role change 30-75 days ago — neither the brand-count nor the recent-hire trigger is verified by this firmographic pull; both must be checked per company (LinkedIn role-change date, brand portfolio) before outreach."
insulet.com,Insulet Corporation,-,http://www.insulet.com/,5295,1001-5000,-,Public Company,Medical Equipment Manufacturing,Acton,Massachusetts,United States,"Insulet Corporation (NASDAQ: PODD), headquartered in Massachusetts, is an innovative medical device company dedicated to simplifying life for people with diabetes and other conditions through its Omnipod product platform. The Omnipod Insulin Management System provides a unique alternative to traditional insulin delivery methods. With its simple, wearable design, the tubeless disposable Pod provides up to three days of non-stop insulin delivery, without the need to see or handle a needle. Insulet","New Leader, Old Portfolio","Matched filter for multi-brand medtech/diagnostics companies at $250M-$3B scale proxy (5295 employees, industry='Medical Equipment Manufacturing'). Segment additionally requires 3+ distinct product brands into overlapping call points AND a leadership role change 30-75 days ago — neither the brand-count nor the recent-hire trigger is verified by this firmographic pull; both must be checked per company (LinkedIn role-change date, brand portfolio) before outreach."
masimo.com,Masimo,-,https://www.masimo.com/,3664,1001-5000,1989,Public Company,Medical Equipment Manufacturing,Irvine,California,United States,"Masimo (NASDAQ: MASI) is a global medical technology company that develops and produces a wide array of industry-leading monitoring technologies, including innovative measurements, sensors, patient monitors, and automation and connectivity solutions. Our mission is to improve life, improve patient outcomes, reduce the cost of care, and take noninvasive monitoring to new sites and applications. Masimo SET® Measure-through Motion and Low Perfusion™ pulse oximetry, introduced in 1995, has been show","New Leader, Old Portfolio","Matched filter for multi-brand medtech/diagnostics companies at $250M-$3B scale proxy (3664 employees, industry='Medical Equipment Manufacturing'). Segment additionally requires 3+ distinct product brands into overlapping call points AND a leadership role change 30-75 days ago — neither the brand-count nor the recent-hire trigger is verified by this firmographic pull; both must be checked per company (LinkedIn role-change date, brand portfolio) before outreach."
icumed.com,ICU Medical,-,http://www.icumed.com,9124,5001-10000,-,Public Company,Medical Equipment Manufacturing,San Clemente,California,United States,"ICU Medical connects patients and caregivers through safe, life-saving, life-enhancing IV therapy systems, software, solutions, and consumables.  Since IV therapy is our only business, meeting your IV needs with quality products and consistent supply is our only concern. We are 100% focused on bringing you intuitive, patient-centric IV products and services that provide meaningful clinical differentiation, consistent innovation, and superior value. We design our products to work within your exis","New Leader, Old Portfolio","Matched filter for multi-brand medtech/diagnostics companies at $250M-$3B scale proxy (9124 employees, industry='Medical Equipment Manufacturing'). Segment additionally requires 3+ distinct product brands into overlapping call points AND a leadership role change 30-75 days ago — neither the brand-count nor the recent-hire trigger is verified by this firmographic pull; both must be checked per company (LinkedIn role-change date, brand portfolio) before outreach."
integralife.com,Integra LifeSciences,-,http://www.integralife.com,3856,1001-5000,-,Public Company,Medical Equipment Manufacturing,Princeton,New Jersey,United States,"Integra LifeSciences is a global medical technology leader dedicated to restoring lives. Headquartered in Princeton, New Jersey, we are advancing transformational care through impactful innovation in neurosurgery and tissue reconstruction, specialized fields that demand exceptional expertise and precision. Our portfolio of highly differentiated gold-standard products and solutions is built on decades of clinical evidence and trusted by healthcare professionals to improve patient outcomes.  For t","New Leader, Old Portfolio","Matched filter for multi-brand medtech/diagnostics companies at $250M-$3B scale proxy (3856 employees, industry='Medical Equipment Manufacturing'). Segment additionally requires 3+ distinct product brands into overlapping call points AND a leadership role change 30-75 days ago — neither the brand-count nor the recent-hire trigger is verified by this firmographic pull; both must be checked per company (LinkedIn role-change date, brand portfolio) before outreach."
shockwavemedical.com,Shockwave Medical,-,http://shockwavemedical.com,1540,1001-5000,-,Public Company,Medical Equipment Manufacturing,Santa Clara,California,United States,"Shockwave Medical is revolutionizing the interventional treatment of advanced cardiovascular disease by developing technology that targets calcified plaque. Inspired by 30-years of safety and efficacy in kidney stone treatment, our Intravascular Lithotripsy family of catheters delivers localized lithotripsy at the site of cardiovascular calcium that enables gentle balloon dilatation of calcified, stenotic arteries.   IVL catheters use sonic pressure waves to preferentially impact hard tissue, di","New Leader, Old Portfolio","Matched filter for multi-brand medtech/diagnostics companies at $250M-$3B scale proxy (1540 employees, industry='Medical Equipment Manufacturing'). Segment additionally requires 3+ distinct product brands into overlapping call points AND a leadership role change 30-75 days ago — neither the brand-count nor the recent-hire trigger is verified by this firmographic pull; both must be checked per company (LinkedIn role-change date, brand portfolio) before outreach."
terumobct.com,Terumo Blood and Cell Technologies,-,http://www.terumobct.com,3739,5001-10000,1964,Public Company,Medical Equipment Manufacturing,Lakewood,Colorado,United States,"Headquartered in Lakewood, Colorado, Terumo Blood and Cell Technologies is a global leader in blood component, therapeutic apheresis and cellular technologies serving customers in more than 160 countries. As the only company with the unique combination of apheresis collections, manual and automated whole blood processing and pathogen reduction, we believe in the potential of blood to do even more for patients than it does today. This belief unites our organization, inspires our innovation and st","New Leader, Old Portfolio","Matched filter for multi-brand medtech/diagnostics companies at $250M-$3B scale proxy (3739 employees, industry='Medical Equipment Manufacturing'). Segment additionally requires 3+ distinct product brands into overlapping call points AND a leadership role change 30-75 days ago — neither the brand-count nor the recent-hire trigger is verified by this firmographic pull; both must be checked per company (LinkedIn role-change date, brand portfolio) before outreach."
globusmedical.com,Globus Medical,-,http://www.globusmedical.com,3451,1001-5000,-,Public Company,Medical Equipment Manufacturing,Norristown,Pennsylvania,United States,"Globus Medical, Inc. is a leading musculoskeletal solutions company and is driving significant technological advancements across a complete suite of products. Founded in 2003, Globus’ single-minded focus on advancing surgery has made it the fastest growing company in the history of orthopedics. Globus is driven to utilize superior engineering and technology to achieve pain free, active lives for all patients.  Additional information can be accessed at www.globusmedical.com.  IMPORTANT NOTICE TO ","New Leader, Old Portfolio","Matched filter for multi-brand medtech/diagnostics companies at $250M-$3B scale proxy (3451 employees, industry='Medical Equipment Manufacturing'). Segment additionally requires 3+ distinct product brands into overlapping call points AND a leadership role change 30-75 days ago — neither the brand-count nor the recent-hire trigger is verified by this firmographic pull; both must be checked per company (LinkedIn role-change date, brand portfolio) before outreach."
terumoneuro.com,Terumo Neuro,-,http://terumoneuro.com,1359,1001-5000,1997,Public Company,Medical Equipment Manufacturing,Aliso Viejo,California,United States,"We’re in business to create and deliver innovations that redefine what’s possible in neurovascular treatment, meaningfully advancing both physician practice and patient outcomes. Founded in 1997 as MicroVention and acquired by Terumo Corporation in 2006, Terumo Neuro offers more than thirty products for the treatment of cerebral aneurysms, ischemic stroke, carotid artery disease, and neurovascular malformations. Headquartered in California, Terumo Neuro products are sold in more than seventy cou","New Leader, Old Portfolio","Matched filter for multi-brand medtech/diagnostics companies at $250M-$3B scale proxy (1359 employees, industry='Medical Equipment Manufacturing'). Segment additionally requires 3+ distinct product brands into overlapping call points AND a leadership role change 30-75 days ago — neither the brand-count nor the recent-hire trigger is verified by this firmographic pull; both must be checked per company (LinkedIn role-change date, brand portfolio) before outreach."
glidewelldental.com,Glidewell Dental,-,http://www.glidewelldental.com,2230,1001-5000,1970,Privately Held,Medical Equipment Manufacturing,Irvine,California,United States,"Glidewell is America’s largest digital dental lab, pioneering industry-first innovations that expand what’s possible in restorative dentistry. Our mission is to empower dental professionals with comprehensive, convenient, cost-effective clinical solutions, by combining open digital workflows, AI-powered manufacturing, and vertically integrated operations.  We meet dentists where they are on their digital journey, offering flexible solutions that fit any practice—accepting all scanners, digitizin","New Leader, Old Portfolio","Matched filter for multi-brand medtech/diagnostics companies at $250M-$3B scale proxy (2230 employees, industry='Medical Equipment Manufacturing'). Segment additionally requires 3+ distinct product brands into overlapping call points AND a leadership role change 30-75 days ago — neither the brand-count nor the recent-hire trigger is verified by this firmographic pull; both must be checked per company (LinkedIn role-change date, brand portfolio) before outreach."
accuray.com,Accuray,-,https://www.accuray.com,1062,501-1000,-,Public Company,Medical Equipment Manufacturing,Madison,Wisconsin,United States,We work passionately to expand the curative power of radiation therapy to improve as many lives as possible. #AccurayExpandRT #CyberKnife #Radixact #TomoTherapy #AccurayExchange,"New Leader, Old Portfolio","Matched filter for multi-brand medtech/diagnostics companies at $250M-$3B scale proxy (1062 employees, industry='Medical Equipment Manufacturing'). Segment additionally requires 3+ distinct product brands into overlapping call points AND a leadership role change 30-75 days ago — neither the brand-count nor the recent-hire trigger is verified by this firmographic pull; both must be checked per company (LinkedIn role-change date, brand portfolio) before outreach."
orthofix.com,Orthofix,-,http://www.orthofix.com,2063,1001-5000,-,Public Company,Medical Equipment Manufacturing,The Colony,Texas,United States,"Orthofix is a global medical technology company headquartered in Lewisville, Texas. By providing medical technologies that heal musculoskeletal pathologies, we deliver exceptional experiences and life-changing solutions to patients around the world. Orthofix offers a comprehensive portfolio of spinal hardware, bone growth therapies, specialized limb reconstruction solutions, biologics and enabling technologies, including the 7D FLASH™ navigation system.  𝗢𝘂𝗿 𝗩𝗶𝘀𝗶𝗼𝗻: To be the unrivaled partner i","New Leader, Old Portfolio","Matched filter for multi-brand medtech/diagnostics companies at $250M-$3B scale proxy (2063 employees, industry='Medical Equipment Manufacturing'). Segment additionally requires 3+ distinct product brands into overlapping call points AND a leadership role change 30-75 days ago — neither the brand-count nor the recent-hire trigger is verified by this firmographic pull; both must be checked per company (LinkedIn role-change date, brand portfolio) before outreach."
appliedmedical.com,Applied Medical,-,http://www.appliedmedical.com,3987,5001-10000,1987,Privately Held,Medical Equipment Manufacturing,Rancho Santa Margarita,California,United States,"As a new generation medical device company, Applied Medical is focused on meeting three fundamental healthcare needs: enhanced clinical outcomes, cost containment and unrestricted choice. Our vertically integrated programs in design, development, manufacturing, and distribution enable us to consistently meet these objectives. As a vertically integrated company, we manufacture all of our products in-house at our corporate headquarters in Rancho Santa Margarita, California, and our European headqu","New Leader, Old Portfolio","Matched filter for multi-brand medtech/diagnostics companies at $250M-$3B scale proxy (3987 employees, industry='Medical Equipment Manufacturing'). Segment additionally requires 3+ distinct product brands into overlapping call points AND a leadership role change 30-75 days ago — neither the brand-count nor the recent-hire trigger is verified by this firmographic pull; both must be checked per company (LinkedIn role-change date, brand portfolio) before outreach."
olympusamerica.com,Olympus Corporation of the Americas,-,olympusamerica.com,4996,5001-10000,-,Public Company,Medical Equipment Manufacturing,Center Valley,Pennsylvania,United States,"At Olympus, we are committed to Our Purpose of making people’s lives healthier, safer and more fulfilling. As a global medical technology company, we partner with healthcare professionals to provide best-in-class solutions and services for early detection, diagnosis and minimally invasive treatment, aiming to improve patient outcomes by elevating the standard of care in targeted disease states.  For more than 100 years, Olympus has pursued a goal of contributing to society by producing products ","New Leader, Old Portfolio","Matched filter for multi-brand medtech/diagnostics companies at $250M-$3B scale proxy (4996 employees, industry='Medical Equipment Manufacturing'). Segment additionally requires 3+ distinct product brands into overlapping call points AND a leadership role change 30-75 days ago — neither the brand-count nor the recent-hire trigger is verified by this firmographic pull; both must be checked per company (LinkedIn role-change date, brand portfolio) before outreach."
pattersondental.com,Patterson Dental,-,https://pattersondental.com/,3352,1001-5000,1877,Public Company,Medical Equipment Manufacturing,St. Paul,Minnesota,United States,"At Patterson Dental, we are committed to partnering with dental practices of all sizes to help oral health professionals practice extraordinary dentistry. We do this by living up to our promise of Trusted Expertise, Unrivaled Support every day.  Patterson’s history of serving dental professionals dates back to our company’s founding in 1877. Since then, Patterson has grown to meet the needs of private practices and large group dental networks through more than 70 branch offices in the United Sta","New Leader, Old Portfolio","Matched filter for multi-brand medtech/diagnostics companies at $250M-$3B scale proxy (3352 employees, industry='Medical Equipment Manufacturing'). Segment additionally requires 3+ distinct product brands into overlapping call points AND a leadership role change 30-75 days ago — neither the brand-count nor the recent-hire trigger is verified by this firmographic pull; both must be checked per company (LinkedIn role-change date, brand portfolio) before outreach."
