company_name,company_linkedin_tag,domain,industry,company_type,size_bucket,employees_on_linkedin,founded_year,hq_city,hq_state,hq_country
Surround Care,https://www.linkedin.com/company/surroundcare01,surround-care.com,Hospitals and Health Care,Privately Held,1001-5000,6,2022,-,-,US
Rapides Regional Medical Center LLC,https://www.linkedin.com/company/rapides-regional-medical-center-llc,rapidesregional.com,Hospitals and Health Care,Partnership,1001-5000,354,-,Alexandria,Louisiana,US
Outer Banks Health,https://www.linkedin.com/company/outerbankshealth,outerbankshealth.org,Hospitals and Health Care,Nonprofit,201-500,256,2002,Nags Head,North Carolina,US
Evergreen Retirement Community,https://www.linkedin.com/company/evergreen-retirement-community,evergreenoshkosh.com,Hospitals and Health Care,Nonprofit,201-500,208,1965,Oshkosh,Wisconsin,US
"Helping U Homecare, Inc.",https://www.linkedin.com/company/helpinguhomecareinc,helpinguhomecare.com,Hospitals and Health Care,Privately Held,501-1000,66,2015,New York,New York,US
Community Partnership of Southern Arizona (CPSA),https://www.linkedin.com/company/community-partnership-of-southern-arizona-cpsa-,cpsaarizona.org,Hospitals and Health Care,Nonprofit,201-500,86,1995,-,-,US
Huisartsen Brainport,https://www.linkedin.com/company/huisartsen-brainport,huisartsenbrainport.nl,Hospitals and Health Care,Partnership,501-1000,2,2022,-,-,US
Marymount Hospital,https://www.linkedin.com/company/marymount-hospital,ccf.org,Hospitals and Health Care,Nonprofit,1001-5000,320,-,-,-,US
Care Visions Group,https://www.linkedin.com/company/carevisions,carevisions.co.uk,Hospitals and Health Care,Privately Held,201-500,89,1999,-,-,US
Menorah Park,https://www.linkedin.com/company/menorahpark,menorahpark.org,Hospitals and Health Care,Nonprofit,1001-5000,446,1906,Beachwood,Ohio,US
Rumah Sakit Tria Dipa,https://www.linkedin.com/company/rumah-sakit-tria-dipa,rs-triadipa.com,Hospitals and Health Care,Privately Held,201-500,35,-,-,-,US
AAPI American Association of Physicians of Indian Origin,https://www.linkedin.com/company/aapi-american-association-of-physicians-of-indian-origin,aapiusa.org,Hospitals and Health Care,Public Company,501-1000,18,1982,-,-,US
"Complete Home Health Care, LLC",https://www.linkedin.com/company/complete-home-health-care-llc,completehhc.com,Hospitals and Health Care,Privately Held,501-1000,342,2001,Broomfield,Colorado,US
Cortland Regional Medical Center,https://www.linkedin.com/company/cortland-regional-medical-center,cortlandregional.org,Hospitals and Health Care,Nonprofit,501-1000,214,1891,Cortland,New York,US
Centrex Rehab,https://www.linkedin.com/company/centrex-rehab,centrexrehab.com,Hospitals and Health Care,Public Company,201-500,157,-,Bloomington,Minnesota,US
Borinquen Health Care Ctr,https://www.linkedin.com/company/borinquen-health-care-ctr,borinquenhealth.org,Hospitals and Health Care,Nonprofit,201-500,148,1972,Miami,Florida,US
MVHC,https://www.linkedin.com/company/muskingum-valley-health-centers,mvhccares.org,Hospitals and Health Care,Nonprofit,201-500,133,2008,Zanesville,Ohio,US
"The Centers, Inc.",https://www.linkedin.com/company/the-centers-inc-,thecenters.us,Hospitals and Health Care,Nonprofit,201-500,119,1972,Ocala,Florida,US
Bayshore Community Health Services,https://www.linkedin.com/company/bayshore-community-health-services,bchs.com,Hospitals and Health Care,Nonprofit,1001-5000,203,-,-,-,US
North Canyon Network of Care,https://www.linkedin.com/company/north-canyon-network-of-care,northcanyon.org,Hospitals and Health Care,Nonprofit,201-500,156,1918,Gooding,Idaho,US
Oncure Medical Corp,https://www.linkedin.com/company/oncure-medical-corp,oncure.com,Hospitals and Health Care,Privately Held,201-500,83,1997,Englewood,Colorado,US
Columbus Community Hospital,https://www.linkedin.com/company/columbus-community-hospital-ne,columbushosp.org,Hospitals and Health Care,Nonprofit,501-1000,476,-,Columbus,Nebraska,US
Twin County Regional Healthcare - Duke LifePoint Healthcare,https://www.linkedin.com/company/twin-county-regional-healthcare-inc,tcrh.org,Hospitals and Health Care,Privately Held,201-500,153,1973,Galax,Virginia,US
Concordia Home and Community Services,https://www.linkedin.com/company/concordia-home-and-community-based-services,concordialm.org,Hospitals and Health Care,Nonprofit,501-1000,40,1997,Cabot,Pennsylvania,US
Hutchinson Health,https://www.linkedin.com/company/hutch-health,healthpartners.com,Hospitals and Health Care,Nonprofit,501-1000,188,-,Hutchinson,Minnesota,US
St. Luke Community Healthcare,https://www.linkedin.com/company/st-luke-community-healthcare,stlukehealthcare.org,Hospitals and Health Care,Nonprofit,201-500,106,1953,Ronan,Montana,US
Richard J Daley College,https://www.linkedin.com/company/richard-j-daley-college,-,Hospitals and Health Care,-,201-500,76,-,Chicago,Illinois,US
"Visiting Nurse Services of Connecticut, Inc.",https://www.linkedin.com/company/vns-of-ct,vnsct.org,Hospitals and Health Care,Nonprofit,201-500,72,1909,Bridgeport,Connecticut,US
Austin Lakes Hospital,https://www.linkedin.com/company/austin-lakes-hospital,austinlakeshospital.com,Hospitals and Health Care,Privately Held,201-500,61,-,Austin,Texas,US
Arcadia Family of Companies,https://www.linkedin.com/company/arcadia-family-of-companies,arcadia.org,Hospitals and Health Care,Nonprofit,501-1000,59,1967,Honolulu,Hawaii,US
Europe Medical Tourism,https://www.linkedin.com/company/europe-medical-tourism,-,Hospitals and Health Care,Public Company,1001-5000,1,-,-,-,US
AIRES LLC,https://www.linkedin.com/company/aires-llc,aires.org,Hospitals and Health Care,Privately Held,501-1000,166,1978,Phoenix,Arizona,US
Priority Management Group,https://www.linkedin.com/company/priority-management-group,prioritymgt.com,Hospitals and Health Care,Privately Held,1001-5000,86,2006,Dallas,Texas,US
"A-Plus Care HHC, Inc.",https://www.linkedin.com/company/apluscareny,apluscareny.com,Hospitals and Health Care,Privately Held,1001-5000,41,-,Brooklyn,New York,US
Scottsdale Physicians Group,https://www.linkedin.com/company/scottsdale-physicians-group,spgmd.com,Hospitals and Health Care,Privately Held,201-500,34,2003,Scottsdale,Arizona,US
Mt Carmel Hospital,https://www.linkedin.com/company/mt-carmel-hospital,mountcarmelhealth.com,Hospitals and Health Care,-,201-500,290,-,Westerville,Ohio,US
Omni Community Health,https://www.linkedin.com/company/omni-community-health,theomnifamily.com,Hospitals and Health Care,Privately Held,501-1000,175,2014,Nashville,Tennessee,US
Penobscot Valley Hospital,https://www.linkedin.com/company/penobscot-valley-hospital,pvhme.org,Hospitals and Health Care,Nonprofit,201-500,104,1973,Lincoln,Maine,US
Firstat Nursing Services,https://www.linkedin.com/company/firstat-nursing-services,firstathealthcare.com,Hospitals and Health Care,Privately Held,1001-5000,100,1995,West Palm Beach,Florida,US
The Wesleyan,https://www.linkedin.com/company/wesleyan-homes-inc-,thewesleyan.org,Hospitals and Health Care,Nonprofit,201-500,56,1962,Georgetown,Texas,US
ProMedica Senior Care,https://www.linkedin.com/company/promedica-senior-care,promedicaseniorcare.org,Hospitals and Health Care,Public Company,501-1000,36,-,"Las vegas, Houston, New York",-,US
معامل فاست لاب - Fast labs,https://www.linkedin.com/company/fastlabeg,facebook.com,Hospitals and Health Care,Partnership,201-500,10,-,-,-,US
UF College of Medicine Finance & Administration Fellowship and Internship Program,https://www.linkedin.com/company/ufcom-finance-administration-fellowship-program,ufl.edu,Hospitals and Health Care,Nonprofit,1001-5000,5,-,Gainesville,Florida,US
Northwest Florida Community Hospital,https://www.linkedin.com/company/northwestfloridacommunityhospital,nfch.org,Hospitals and Health Care,Privately Held,201-500,110,-,Chipley,Florida,US
Easton Hospital,https://www.linkedin.com/company/easton-hospital,easton-hospital.org,Hospitals and Health Care,Privately Held,501-1000,254,-,Easton,Pennsylvania,US
JEMCare,https://www.linkedin.com/company/jemcare,jemcare.org,Hospitals and Health Care,Privately Held,201-500,121,2018,Brooklyn,New York,US
Medic One Ambulance,https://www.linkedin.com/company/medicone,medic-one.info,Hospitals and Health Care,Privately Held,201-500,93,2000,Jonesboro,Arkansas,US
"KIMS UAIMS Hospital, Sangli",https://www.linkedin.com/company/kims-uaims-hospital-sangli,kimshospitals.com,Hospitals and Health Care,Privately Held,501-1000,65,-,-,-,US
Rio Grande Cancer Specialists,https://www.linkedin.com/company/rio-grande-cancer-specialists,rgcshope.com,Hospitals and Health Care,Partnership,201-500,6,2008,El Paso,Texas,US
VARD-ECS Ltd.,https://www.linkedin.com/company/vard-ecs-ltd,-,Hospitals and Health Care,Privately Held,201-500,6,-,-,-,US
"Apex Homecare Services, Inc.",https://www.linkedin.com/company/apexhomecare,apexhomecareservices.com,Hospitals and Health Care,Privately Held,201-500,6,1997,Glendale,California,US
Chettinad Multispeciality Hospital Karapakkam,https://www.linkedin.com/company/chettinad-multispeciality-hospital-karapakkam,chettinadhealthcare.com,Hospitals and Health Care,Privately Held,1001-5000,5,-,-,-,US
SNA Illinois,https://www.linkedin.com/company/sna-illinois,snaillinois.com,Hospitals and Health Care,Government Agency,1001-5000,5,1950,Manteno,Illinois,US
AnuHospitals,https://www.linkedin.com/company/anuhospitals,anuhospitals.com,Hospitals and Health Care,Public Company,501-1000,4,-,-,-,US
PRCM llc,https://www.linkedin.com/company/prcm-llc,primercmllc.com,Hospitals and Health Care,Public Company,201-500,4,-,-,-,US
Harvard Community Health Plan,https://www.linkedin.com/company/harvard-community-health-plan,-,Hospitals and Health Care,-,201-500,3,-,Burlington,Massachusetts,US
"3RiversHealth, LLC",https://www.linkedin.com/company/3rivershealth-llc,3rivershealth.com,Hospitals and Health Care,Privately Held,1001-5000,3,2014,Sewickley,Pennsylvania,US
云南济仁医院,https://www.linkedin.com/company/%e4%ba%91%e5%8d%97%e6%b5%8e%e4%bb%81%e5%8c%bb%e9%99%a2,-,Hospitals and Health Care,Privately Held,201-500,3,-,-,-,US
Affinity Care of Washington DC,https://www.linkedin.com/company/affinity-care-of-washington-dc,affinityhealthmanagement.com,Hospitals and Health Care,Privately Held,201-500,3,-,Washington,District of Columbia,US
Wayt Consulting Group,https://www.linkedin.com/company/wayt-consulting,waytconsulting.com,Hospitals and Health Care,Privately Held,201-500,2,-,Mission Viejo,California,US
Medcheck,https://www.linkedin.com/company/medcheck,medcheck.co,Hospitals and Health Care,Public Company,1001-5000,2,-,-,-,US
Aayush Hospitals,https://www.linkedin.com/company/aayushhospitals,aayushhospitals.com,Hospitals and Health Care,Privately Held,501-1000,2,2012,-,-,US
K J Somaiya College of Nursing,https://www.linkedin.com/company/kj-somaiya-college-of-nursing,somaiya.edu.in,Hospitals and Health Care,Educational,1001-5000,2,-,-,-,US
LifeLine Supply,https://www.linkedin.com/company/lifeline-supply,lifeline-supply.com,Hospitals and Health Care,Privately Held,201-500,1,2020,Montebello,California,US
Ppid Journal,https://www.linkedin.com/company/ppid-journal,ppidjournal.com,Hospitals and Health Care,Privately Held,201-500,1,-,Burr Ridge,Illinois,US
エルケア,https://www.linkedin.com/company/%e3%82%a8%e3%83%ab%e3%82%b1%e3%82%a2,l-care.jp,Hospitals and Health Care,Public Company,501-1000,1,-,-,-,US
OXFORD HEALTHCARE MANAGEMENT INC,https://www.linkedin.com/company/oxford-healthcare-management-inc,-,Hospitals and Health Care,-,501-1000,1,-,Oxford,Mississippi,US
"MCG Health, LLC",https://www.linkedin.com/company/mcg-health-llc,careguidelines.com,Hospitals and Health Care,-,1001-5000,1,-,Seattle,Washington,US
Affinity Rehab & Long Term Care Group,https://www.linkedin.com/company/affinity-rehab-long-term-care-group,affinitygroupstl.com,Hospitals and Health Care,Privately Held,201-500,1,-,St. Louis,Missouri,US
"TAVOUR, SARGON",https://www.linkedin.com/company/tavour-sargon,tavour.com,Hospitals and Health Care,Public Company,201-500,1,-,Laguna Niguel,California,US
Synergy Homecare Of The Fox Valley,https://www.linkedin.com/company/synergy-homecare-of-the-fox-valley,synergyhomecare.com,Hospitals and Health Care,Public Company,201-500,-,-,Kimberly,Wisconsin,US
Carebird,https://www.linkedin.com/company/carebirdhealth,carebird.com,Hospitals and Health Care,Privately Held,201-500,-,2021,Miami,Florida,US
广东康奥医院投资管理有限公司,https://www.linkedin.com/company/%e5%b9%bf%e4%b8%9c%e5%ba%b7%e5%a5%a5%e5%8c%bb%e9%99%a2%e6%8a%95%e8%b5%84%e7%ae%a1%e7%90%86%e6%9c%89%e9%99%90%e5%85%ac%e5%8f%b8,-,Hospitals and Health Care,Privately Held,201-500,-,-,-,-,US
Regional Health Services of Howard County,https://www.linkedin.com/company/regional-health-services,rhshc.com,Hospitals and Health Care,Nonprofit,201-500,100,1902,Cresco,Iowa,US
RiverMead Lifecare Community,https://www.linkedin.com/company/rivermead,rivermead.org,Hospitals and Health Care,Nonprofit,201-500,95,1995,Peterborough,New Hampshire,US
Choice Rehab,https://www.linkedin.com/company/choice-rehab,choicerehab.com,Hospitals and Health Care,Privately Held,201-500,93,2007,Tyler,Texas,US
Wray Community District Hospital,https://www.linkedin.com/company/wray-community-district-hospital,wrayhospital.org,Hospitals and Health Care,-,201-500,63,-,WRAY,Colorado,US
CDT DIAGNÓSTICOS,https://www.linkedin.com/company/cdt-diagn%c3%b3sticos,cdtdiagnosticos.com.br,Hospitals and Health Care,Privately Held,1001-5000,38,-,-,-,US
Virginia Regional Medical Center,https://www.linkedin.com/company/virginia-regional-medical-center,vrmc.org,Hospitals and Health Care,Government Agency,201-500,32,-,-,-,US
Diocesan Health Facilities,https://www.linkedin.com/company/diocesan-health-facilities,dhfo.org,Hospitals and Health Care,Nonprofit,1001-5000,27,1939,Fall River,Massachusetts,US
"Planned Parenthood of Nassau County, Inc.",https://www.linkedin.com/company/planned-parenthood-of-nassau-county-inc-,plannedparenthood.org,Hospitals and Health Care,Nonprofit,201-500,24,1933,Hempstead,New York,US
Bristol Healthcare Services,https://www.linkedin.com/company/bristolhealthcareservices,bristolhcs.com,Hospitals and Health Care,Privately Held,201-500,23,-,Los Angeles,-,US
Nova IVF Fertility Bangladesh,https://www.linkedin.com/company/novaivffertilitybd,novaivffertilitybd.com,Hospitals and Health Care,Privately Held,201-500,21,-,-,-,US
NAHA Health,https://www.linkedin.com/company/nahahealth,nahahealth.com,Hospitals and Health Care,Privately Held,201-500,6,2019,Clearwater,Florida,US
Suburban Home Health,https://www.linkedin.com/company/suburban-home-health,suburbanhomehealth.org,Hospitals and Health Care,Partnership,201-500,86,2014,Noblesville,Indiana,US
St. Anne Home,https://www.linkedin.com/company/st--anne-home,stannehome.org,Hospitals and Health Care,Nonprofit,201-500,76,1964,Greensburg,Pennsylvania,US
COMPASS LLC,https://www.linkedin.com/company/compass-llc,compasscares.com,Hospitals and Health Care,Privately Held,201-500,66,1996,Redding,California,US
Northern Light,https://www.linkedin.com/company/northernlightmm,northernlightmm.com,Hospitals and Health Care,Privately Held,201-500,48,-,Hollywood,Florida,US
BSW Academy,https://www.linkedin.com/company/bswacademy,-,Hospitals and Health Care,Public Company,201-500,4,-,-,-,US
AMSTERDAM NURSING HOME CORPORATION,https://www.linkedin.com/company/amsterdam-nursing-home-corporation,amsterdamcares.com,Hospitals and Health Care,-,201-500,152,-,NEW YORK,New York,US
Northeast Center for Rehabilitation and Brain Injury,https://www.linkedin.com/company/northeast-center-for-rehabilitation-and-brain-injury,northeastcenter.com,Hospitals and Health Care,Privately Held,201-500,123,1999,Lake Katrine,New York,US
Grand River Health,https://www.linkedin.com/company/grand-river-health,grhd.org,Hospitals and Health Care,-,501-1000,119,-,-,-,US
Livingston Memorial Visiting Nurse Association & Hospice,https://www.linkedin.com/company/lmvna,lmvna.org,Hospitals and Health Care,Nonprofit,201-500,118,1947,Ventura,California,US
The Village at Gainesville,https://www.linkedin.com/company/the-village-at-gainesville,thevillagegainesville.com,Hospitals and Health Care,Nonprofit,201-500,95,1986,GAINESVILLE,Florida,US
Spectrum Health Companies,https://www.linkedin.com/company/spectrumhealthcompanies,carefreeliving.com,Hospitals and Health Care,Sole Proprietorship,201-500,62,1982,Eveleth,Minnesota,US
"Sunshine Health Facilities, Inc.",https://www.linkedin.com/company/sunshine-health-facilities-inc,shfi.com,Hospitals and Health Care,Privately Held,201-500,53,-,SPOKANE VALLEY,Washington,US
Kare Partners,https://www.linkedin.com/company/karepartners,karepartners.com,Hospitals and Health Care,Privately Held,201-500,38,-,-,-,US
PeaceCare NJ,https://www.linkedin.com/company/peacecare-nj,peacecarenj.org,Hospitals and Health Care,Nonprofit,501-1000,32,1891,Jersey City,New Jersey,US
Alrabeehdental,https://www.linkedin.com/company/alrabeehdental,alrabeehdental.com,Hospitals and Health Care,Privately Held,201-500,5,-,-,-,US
Ivan Franko Homes,https://www.linkedin.com/company/ivan-frankohomes,ivanfrankohomes.com,Hospitals and Health Care,Nonprofit,201-500,4,-,-,-,US
Sterling Physician Group,https://www.linkedin.com/company/the-sterling-center-surgery-and-medicine,thesterlingphysicians.com,Hospitals and Health Care,Nonprofit,501-1000,4,-,-,-,US
Informed llc.,https://www.linkedin.com/company/informed-inc.,informedmedical.com,Hospitals and Health Care,Privately Held,501-1000,4,-,-,-,US
广州华元伟业医疗管理有限公司,https://www.linkedin.com/company/%e5%b9%bf%e5%b7%9e%e5%8d%8e%e5%85%83%e4%bc%9f%e4%b8%9a%e5%8c%bb%e7%96%97%e7%ae%a1%e7%90%86%e6%9c%89%e9%99%90%e5%85%ac%e5%8f%b8,huayuanweiye.com,Hospitals and Health Care,Privately Held,201-500,3,-,-,-,US
Garrett Regional Medical Center,https://www.linkedin.com/company/garrettregionalmedicalcenter,gcmh.com,Hospitals and Health Care,Nonprofit,201-500,3,1950,Oakland,Maryland,US
Prarthana Hospital & Research Centre Rewa,https://www.linkedin.com/company/prarthana-hospital-research-centre-rewa,prarthanahospitalrewa.com,Hospitals and Health Care,Self-Owned,201-500,2,-,-,-,US
Complete Care at Charlotte,https://www.linkedin.com/company/complete-care-at-charlotte,ccmcharlotte.com,Hospitals and Health Care,Privately Held,201-500,2,2018,Charlotte,North Carolina,US
MuthuMeenakshi hospitals,https://www.linkedin.com/company/muthumeenakshi-hospitals,muthumeenakshihospitals.com,Hospitals and Health Care,Privately Held,201-500,2,-,-,-,US
International Surgical Sleep Society,https://www.linkedin.com/company/international-surgical-sleep-society,surgicalsleep.org,Hospitals and Health Care,Educational,501-1000,1,2006,-,-,US
Best Assisted Living Aiken - Luxury Senior Living Aiken Sc & Senior Care South Carolina,https://www.linkedin.com/company/best-assisted-living-aiken-luxury-senior-living-aiken-sc-senior-care-south-carolina,business.site,Hospitals and Health Care,Public Company,201-500,1,2015,Aiken,South Carolina,US
Providence Hospital of North Houston,https://www.linkedin.com/company/phnh-health,-,Hospitals and Health Care,Privately Held,501-1000,1,1998,-,-,US
Cypress Urgent Care,https://www.linkedin.com/company/cypress-urgent-care,cypressurgentcare.com,Hospitals and Health Care,Privately Held,201-500,1,1995,-,-,US
Melbourne Carers Network,https://www.linkedin.com/company/melbourne-carers-network,cocoons.com.au,Hospitals and Health Care,Privately Held,201-500,-,-,-,-,US
Constellation Private Duty,https://www.linkedin.com/company/constellation-private-duty,constellationhs.com,Hospitals and Health Care,Self-Owned,201-500,-,-,Norwalk,Connecticut,US
Grupo Hospitalario SAME,https://www.linkedin.com/company/grupo-hospitalario-same,hospitalsame.com,Hospitals,Public Company,201-500,-,-,-,-,US
Acti-Kare Responsive In-Home Care Franchise Opportunity,https://www.linkedin.com/company/acti-kare-franchise-opportunity,actikare.com,Hospitals and Health Care,Privately Held,201-500,-,2009,Tampa,Florida,US
Dr Shafeek Muhammed,https://www.linkedin.com/company/dr-shafeek-muhammed,-,Hospitals and Health Care,Educational,1001-5000,-,-,-,-,US
Century Home Care Llc,https://www.linkedin.com/company/century-home-care-llc,centuryhomecare.net,Hospitals and Health Care,Privately Held,501-1000,-,2019,Philadelphia,Pennsylvania,US
Delaware Valley Community Health Family Medicine Residency Program,https://www.linkedin.com/company/residencydvch,dvch.org,Hospitals and Health Care,Nonprofit,201-500,-,-,Philadelphia,Pennsylvania,US
WELCH COMMUNITY HOSPITAL,https://www.linkedin.com/company/welch-community-hospital,-,Hospitals and Health Care,-,201-500,56,-,Welch,West Virginia,US
TLC Care Center,https://www.linkedin.com/company/tlccarecenter,tlccarecenter.com,Hospitals and Health Care,Privately Held,201-500,53,-,Henderson,Nevada,US
Doctor´s Medical Center,https://www.linkedin.com/company/dmcofmiami,dmcofmiami.com,Hospitals and Health Care,Sole Proprietorship,501-1000,46,1996,"Miami, Florida",Florida,US
Empower (formerly Niagara Cerebral Palsy),https://www.linkedin.com/company/empower-formerly-niagara-cerebral-palsy-,niagarachamber.org,Hospitals and Health Care,-,201-500,37,1954,Niagara Falls,New York,US
GREER MEMORIAL HOSPITAL,https://www.linkedin.com/company/greer-memorial-hospital,-,Hospitals and Health Care,-,201-500,37,-,Greer,South Carolina,US
River Garden Senior Services - River Garden Hebrew Home For The Aged,https://www.linkedin.com/company/river-garden-hebrew-home-for-the-aged-inc,rivergarden.org,Hospitals and Health Care,Nonprofit,201-500,163,1946,Jacksonville,Florida,US
UCR Health,https://www.linkedin.com/company/ucr-health,ucrhealth.org,Hospitals and Health Care,Privately Held,201-500,60,2012,Riverside,California,US
National Park Medical Center,https://www.linkedin.com/company/npmchs,nationalparkmedical.com,Hospitals and Health Care,Privately Held,501-1000,313,1954,Hot Springs National Park,Arkansas,US
Florida Urology Partners,https://www.linkedin.com/company/florida-urology-partners-llp,floridaurologypartners.com,Hospitals and Health Care,Privately Held,201-500,123,-,Tampa,Florida,US
The Lutheran Home Association,https://www.linkedin.com/company/the-lutheran-home-association,tlha.org,Hospitals and Health Care,Nonprofit,501-1000,144,1898,Belle Plaine,Minnesota,US
Littleton Adventist Hospital,https://www.linkedin.com/company/littleton-adventist-hospital,mylittletonhospital.org,Hospitals and Health Care,Nonprofit,1001-5000,307,1989,Littleton,Colorado,US
Our Lady of the Angels Health,https://www.linkedin.com/company/ourladyoftheangelshealth,oloah.org,Hospitals and Health Care,Nonprofit,201-500,126,-,Bogalusa,Louisiana,US
Yale Emergency Medicine,https://www.linkedin.com/company/yale-emergency-med,yale.edu,Hospitals and Health Care,Educational Institution,1001-5000,20,2009,New Haven,Connecticut,US
Liberty Home Care and Hospice,https://www.linkedin.com/company/liberty-homecare-and-hospice,libertyhomecare.com,Hospitals and Health Care,Privately Held,1001-5000,301,1875,Wilmington,North Carolina,US
Block Institute,https://www.linkedin.com/company/block-institute,blockinstitute.org,Hospitals and Health Care,Nonprofit,501-1000,244,-,Brooklyn,New York,US
Neil Medical Group,https://www.linkedin.com/company/neil-medical-group,neilmedical.com,Hospitals and Health Care,Privately Held,201-500,191,-,Kinston,North Carolina,US
Ascentist Healthcare,https://www.linkedin.com/company/ascentist-healthcare,ascentist.com,Hospitals and Health Care,Privately Held,201-500,177,2012,Leawood,Kansas,US
UnityBPO,https://www.linkedin.com/company/unitybpo,unitybpo.com,Hospitals and Health Care,Privately Held,201-500,69,2016,Albuquerque,New Mexico,US
Marina Medical Billing Service Inc,https://www.linkedin.com/company/marina-medical-billing-service-inc,tsystem.com,Hospitals and Health Care,Privately Held,201-500,29,1981,Cerritos,California,US
Penrose Hospital,https://www.linkedin.com/company/penrose-hospital,penrosestfrancis.org,Hospitals and Health Care,-,201-500,348,-,Pueblo,Colorado,US
Uvalde Memorial Hospital,https://www.linkedin.com/company/uvalde-memorial-hospital,umhtx.org,Hospitals and Health Care,Nonprofit,501-1000,289,1949,Uvalde,Texas,US
Envision Imaging,https://www.linkedin.com/company/envisionimaging,envrad.com,Hospitals and Health Care,Privately Held,1001-5000,241,-,Dallas,Texas,US
"Southeast Mississippi Rural Health Initiative, Inc. (SEMRHI)",https://www.linkedin.com/company/southeast-mississippi-rural-health-initiative-inc-,semrhi.com,Hospitals and Health Care,Nonprofit,201-500,152,1979,Hattiesburg,Mississippi,US
Mary T. Inc.,https://www.linkedin.com/company/mary-t--inc-,marytinc.com,Hospitals and Health Care,Privately Held,501-1000,273,1976,Coon Rapids,MN - Minnesota,US
Evangelical Homes of Michigan,https://www.linkedin.com/company/evangelical-homes-of-michigan,ehmchoices.org,Hospitals and Health Care,Nonprofit,501-1000,144,1879,Farmington,Michigan,US
Tata Cancer Care Foundation,https://www.linkedin.com/company/tata-cancer-care-foundationn,tatacancercarefoundation.org,Hospitals and Health Care,Nonprofit,501-1000,79,2017,-,-,US
Lakeside Neurologic,https://www.linkedin.com/company/lakesideneurologic,lakesideneurologic.com,Hospitals and Health Care,Privately Held,201-500,42,-,Wauchula,Florida,US
Ochsner Clinic Foundation,https://www.linkedin.com/company/ochsner-clinic-foundation,ochsner.org,Hospitals and Health Care,-,201-500,272,-,Abita Springs,Louisiana,US
UCLA Department of Neurology,https://www.linkedin.com/company/ucla-department-of-neurology,uclahealth.org,Hospitals and Health Care,Educational Institution,201-500,49,-,Los Angeles,California,US
Madison Memorial Hospital,https://www.linkedin.com/company/madison-memorial-hospital,madisonmemorial.org,Hospital and Health Care,Nonprofit,501-1000,329,1951,-,-,US
Roxborough Memorial Hospital,https://www.linkedin.com/company/roxborough-memorial-hospital,roxboroughmemorial.com,Hospitals and Health Care,Privately Held,501-1000,369,1890,Philadelphia,Pennsylvania,US
ALN Medical Management,https://www.linkedin.com/company/aln-medical-management,hpiinc.com,Hospitals and Health Care,Privately Held,201-500,110,2000,Centennial,Colorado,US
Reston Hospital,https://www.linkedin.com/company/reston-hospital-center,hcavirginia.com,Hospitals and Health Care,Public Company,1001-5000,721,-,Reston,Virginia,US
Next Level Medical,https://www.linkedin.com/company/next-level-urgent-care-llc,nextlevelurgentcare.com,Hospitals and Health Care,Privately Held,501-1000,376,2013,Houston,Texas,US
Rush Oak Park Hospital,https://www.linkedin.com/company/rush-oak-park-hospital,roph.org,Hospitals and Health Care,Nonprofit,501-1000,750,-,Oak Park,Illinois,US
High Focus Centers,https://www.linkedin.com/company/high-focus-centers,highfocuscenters.com,Hospitals and Health Care,Privately Held,201-500,309,-,Summit,New Jersey,US
American Health Imaging,https://www.linkedin.com/company/american-health-imaging,americanhealthimaging.com,Hospitals and Health Care,Privately Held,201-500,318,1998,Atlanta,Georgia,US
CCI Health Services,https://www.linkedin.com/company/ccicares,cciweb.org,Hospitals and Health Care,Nonprofit,201-500,170,1969,Silver Spring,Maryland,US
Alaska Regional Hospital,https://www.linkedin.com/company/alaska-regional-hospital,alaskaregional.com,Hospitals and Health Care,Public Company,501-1000,523,1963,Anchorage,Alaska,US
Lori's Gifts,https://www.linkedin.com/company/lorisgifts,lorisgifts.com,Hospitals and Health Care,Privately Held,501-1000,671,1981,Plano,Texas,US
SHAI,https://www.linkedin.com/company/shai-health,shai.health,Hospitals and Health Care,Privately Held,501-1000,347,1995,Lewes,Delaware,US
Era Living,https://www.linkedin.com/company/era-living,eraliving.com,Hospitals and Health Care,Privately Held,501-1000,383,1987,Seattle,Washington,US
Knapp Medical Center,https://www.linkedin.com/company/knapp-medical-center,knappmed.org,Hospitals and Health Care,Nonprofit,501-1000,363,1962,Weslaco,Texas,US
Catalyst Health Group,https://www.linkedin.com/company/catalysthealthgroup,catalysthealthgroup.net,Hospitals and Health Care,Privately Held,501-1000,171,2015,Plano,Texas,US
WVU Rockefeller Neuroscience Institute,https://www.linkedin.com/company/wvurni,wvumedicine.org,Hospitals and Health Care,Nonprofit,1001-5000,102,-,Morgantown,West Virginia,US
Sanatorio Anchorena Zárate,https://www.linkedin.com/company/sanatorio-anchorena-z%c3%a1rate,-,Hospitals and Health Care,Privately Held,501-1000,62,-,-,-,US
SysInformation,https://www.linkedin.com/company/sysinformation,sysinformation.com,Hospitals and Health Care,Privately Held,501-1000,206,-,Austin,Texas,US
Enovate Medical,https://www.linkedin.com/company/enovate-medical,enovatemedical.com,Hospitals and Health Care,Public Company,201-500,122,2013,Murfreesboro,Tennessee,US
"Worldwide Travel Staffing, Ltd.",https://www.linkedin.com/company/worldwide-travel-staffing-ltd.,worldwidetravelstaffing.com,Hospitals and Health Care,Privately Held,201-500,256,1993,Tonawanda,New York,US
