company_linkedin_tag,name,domain,hq_country,size_band,verdict,payroll_service_confirmed,segment,evidence_url,evidence_quote,evidence_quality,reason,signals,notes,prior_segment,prior_confidence
dainsacc,Dains Accountants & Advisers,dains.com,GB,201-500,QUALIFIED,True,accountancy-practice-payroll,https://www.dains.com/services/payroll,Payroll Services You Can Trust: Expert Support that Grows with Your Business,strong,-,publishing payroll-outsourcing content Sep 2026; acquisitive (Dains Group),-,accountancy-practice-payroll,medium
mgr-weston-kay-llp,mgr,mgr.co.uk,GB,201-500,QUALIFIED,True,accountancy-practice-payroll,https://www.mgr.co.uk/services/human-resources-payroll/,Our human resources and payroll experts can help you manage every aspect of employee remuneration and incentives.,strong,-,-,Also serves bookkeepers’ clients on a white-label basis. Xero cloud partner - not a competitor.,accountancy-practice-payroll,medium
richmond-accounting-advisory,SKS Business Services,sksbusinessservices.com,GB,501-1000,LIKELY,False,accountancy-practice-payroll,-,-,none,-,-,SKS Business Services - outsourced finance/accounting firm; own-domain payroll articles present but site would not load for a service-page check. Payroll line very likely; confirm on call.,accountancy-practice-payroll,high
haines-watts,Haines Watts,hwca.com,GB,201-500,QUALIFIED,True,accountancy-practice-payroll,https://www.hwca.com/what-we-do/business-process/outsourced-payroll/,Outsourced Payroll - Payroll Services | Haines Watts,weak,-,-,Dedicated outsourced payroll page exists within Business Process services; page text mostly navigation.,accountancy-practice-payroll,medium
shawgibbs,Shaw Gibbs,shawgibbs.com,GB,501-1000,QUALIFIED,True,accountancy-practice-payroll,https://www.shawgibbs.com/services/payroll/,"Reimagining payroll in accountancy – a growth lever, not a loss leader ... Head of Payroll Christina Holloway",strong,-,migrated clients to Paycircle payroll platform; actively repositioning payroll as a growth line,"Recently changed payroll software - live switching signal, and a competitor platform in place.",accountancy-practice-payroll,high
accounting-firms,Accounting firms,-,GB,201-500,DISQUALIFIED,False,,-,-,none,Not a payroll processor - AccountingFirms is an online marketplace/directory that matches businesses with accountants; it does not run payroll for clients.,-,-,accountancy-practice-payroll,medium
rawlinson-&-hunter,Rawlinson & Hunter LLP,rawlinson-hunter.co.uk,GB,201-500,QUALIFIED,True,accountancy-practice-payroll,https://www.rawlinson-hunter.co.uk/staff/catherine-thompson,"she and her team provide all aspects of accounting services; from bookkeeping, financial outsourcing, payroll, accounting and auditing, taxation compliance and advisory services",weak,-,-,Payroll delivered inside the outsourcing team; no standalone payroll page.,accountancy-practice-payroll,medium
hw-fisher,"HW Fisher, part of the Sumer Group",hwfisher.co.uk,GB,201-500,QUALIFIED,True,accountancy-practice-payroll,https://hwfisher.co.uk/services/business-solutions-hw-fisher/,"Balance sheet reconciliations ... Bank reconciliations, VAT returns, Credit control management, Payroll",weak,-,acquired into Sumer Group,Payroll listed within HW Fisher Business Solutions co-sourced finance team.,accountancy-practice-payroll,medium
larking-gowen,Larking Gowen,larking-gowen.co.uk,GB,201-500,QUALIFIED,True,accountancy-practice-payroll,https://www.larking-gowen.co.uk/what-we-offer/by-service/outsourcing-your-payroll-needs/,"Payroll can be a highly emotive area for you and your employees, which is why it’s vital for your payroll to be accurate, time[ly]",strong,-,-,-,accountancy-practice-payroll,medium
russell-bedford-international,Russell Bedford International,russellbedford.com,GB,201-500,DISQUALIFIED,False,,-,-,none,"Network head office, not a payroll processor - Russell Bedford International is a global association of independent member firms; the member firms (mostly outside the UK/ROI) deliver payroll, not the network entity.",-,-,accountancy-practice-payroll,medium
mercer-&-hole,Mercer & Hole,mercerhole.co.uk,GB,201-500,QUALIFIED,True,accountancy-practice-payroll,https://www.mercerhole.co.uk/services/business-services/payroll-services-london/,Payroll Services | Mercer & Hole,weak,-,-,Two payroll pages (Business Services and Virtual Finance); page bodies are enquiry forms.,accountancy-practice-payroll,medium
ensors,Ensors,ensors.co.uk,GB,201-500,QUALIFIED,True,accountancy-practice-payroll,https://www.ensors.co.uk/services/accountancy-services/payroll/,Your business may be under pressure with limited accounting or in-house payroll resources. Our experienced team are experts in payroll services,strong,-,-,Staff hold CIPP qualifications.,accountancy-practice-payroll,medium
pkfsmithcooper,PKF Smith Cooper,pkfsmithcooper.com,GB,201-500,QUALIFIED,True,payroll-bureau,https://www.pkfsmithcooper.com/news-insights/smith-cooper-payroll-bureau-why-choose-us/,"our in-house payroll bureau provides a cost-effective, tailored made s[ervice]",strong,-,-,Explicitly describes an in-house payroll bureau alongside the accountancy practice.,accountancy-practice-payroll,medium
unw-llp,UNW,unw.co.uk,GB,201-500,QUALIFIED,True,payroll-bureau,https://unw.co.uk/specialism/payroll/,"As a BACS-approved bureau, we have vast experience in dealing with all aspects of payroll for small to larger employers.",strong,-,-,BACS-approved bureau inside a chartered accountancy firm.,accountancy-practice-payroll,medium
geraldedelman,Gerald Edelman,geraldedelman.com,GB,201-500,QUALIFIED,True,accountancy-practice-payroll,https://www.geraldedelman.com/services/payroll/,Trusted payroll services for UK businesses. Managing payroll in house can be a drain on time and resources for SMEs and business owners.,strong,-,-,-,accountancy-practice-payroll,medium
james-cowper-kreston,James Cowper Kreston,jamescowperkreston.co.uk,GB,201-500,QUALIFIED,True,payroll-bureau,https://www.jamescowperkreston.co.uk/services/payroll/,you can outsource all your payroll processing needs to our bacs-approved payroll bureau,strong,-,-,"Payroll run through a separate entity, JC Payroll Services Ltd; processes c.£3bn of payrolls a year.",accountancy-practice-payroll,medium
monahans,"Monahans, Part of the Sumer Group",monahans.co.uk,GB,201-500,QUALIFIED,True,accountancy-practice-payroll,https://monahans.co.uk/services/payroll,"Our payroll specialists process the payroll for in excess of 750 payroll clients, ranging from one/two-person Director payrol[ls]",strong,-,acquired into Sumer Group,750+ payroll clients - substantial bureau volume.,accountancy-practice-payroll,medium
xeinadinireland,Xeinadin Ireland,xeinadin.ie,IE,1001-5000,QUALIFIED,True,accountancy-practice-payroll,https://xeinadin.ie/services/payroll/,"As your trusted payroll partner, we offer comprehensive solutions tailored to meet the unique needs of your business.",strong,-,highly acquisitive group,ROI arm of Xeinadin Group - in scope.,accountancy-practice-payroll,high
aims-accountants-for-business,AIMS Accountants for Business,aims.co.uk,GB,201-500,QUALIFIED,True,accountancy-practice-payroll,https://www.aims.co.uk/services/accounting-bookkeeping/,This could be preparation and filing of your year-end financial report ... running your payroll (preparing and submitting employee wages and PAYE returns),weak,-,-,Network/franchise of independent AIMS accountants; individual members list payroll among services. Buying decision may sit at member level.,accountancy-practice-payroll,medium
srlv,SRLV,srlv.co.uk,GB,201-500,QUALIFIED,True,accountancy-practice-payroll,https://www.srlv.co.uk/services/payroll-hr/,"A business’s greatest asset is its people, but for staff to truly thrive, it’s vital to have professionally managed payroll and HR",strong,-,-,-,accountancy-practice-payroll,medium
carpenter-box,"Carpenter Box, part of the Sumer Group",carpenterbox.com,GB,201-500,QUALIFIED,True,accountancy-practice-payroll,https://www.carpenterbox.com/services/payroll/,Managing the payroll process for employees is one of the most important undertakings of any employer.,strong,-,acquired into Sumer Group,Also runs a location-specific outsourced payroll page for Chichester.,accountancy-practice-payroll,medium
finance-department,Finance Department,-,GB,201-500,LIKELY,False,accountancy-practice-payroll,-,-,none,-,-,"""The Finance Department"" - outsourced finance function provider; no domain or evidence pack on record. Outsourced finance providers almost always run client payroll; confirm on call.",accountancy-practice-payroll,medium
mws,MWS,mws-accounts.co.uk,GB,201-500,LIKELY,False,accountancy-practice-payroll,-,-,none,-,-,"MWS - chartered accountancy firm and registered auditor, six partners, Essex/London. No evidence pack and site did not respond; payroll line unconfirmed.",accountancy-practice-payroll,medium
asa-recruitment,ASA RECRUITMENT,asarecruitment.co.uk,GB,201-500,QUALIFIED,True,recruitment-umbrella-contractor-payroll,https://www.asarecruitment.co.uk/what-is-ecruit/,"eCruit is a powerful online tool for scheduling temporary work. For employers, it makes filling shifts fast, simple and secure.",weak,-,-,"INFERRED: supplies temporary workers to public sector/industry, so runs its own temp PAYE payroll. No explicit payroll page - verify before outreach.",accountancy-practice-payroll,high
cowgills,"Cowgills, part of the Sumer Group",cowgills.co.uk,GB,201-500,LIKELY,False,accountancy-practice-payroll,-,-,none,-,acquired into Sumer Group,Cowgills (Sumer Group) - no payroll service page found; only payroll-related tax news articles. Payroll line unconfirmed.,accountancy-practice-payroll,medium
hooplegroup,Hoople Group,hoopleltd.co.uk,GB,501-1000,QUALIFIED,True,payroll-bureau,https://www.hoopleltd.co.uk/hr-payroll/,"HR & Payroll - Hoople Group # HR & Payroll We support local authorities, healthcare providers, schools, academies and other public sector organisations with a range of HR advisory, HR admin and p",strong,-,-,"Public-sector shared services JV; payroll for councils, NHS, schools, academies as clients.",accountancy-practice-payroll,high
hsj-accountants,"HSJ Accountants, Business & Tax Advisors",hsj.uk.com,GB,201-500,QUALIFIED,True,accountancy-practice-payroll,http://www.hsjaccountants.co.uk/our-services/business/payroll,BACS Approved Payroll Services | HSJ Accountants | Newport | Cardiff | Tax and Business Advisers | South Wales,weak,-,-,Payroll page found on legacy own domain hsjaccountants.co.uk (BACS-approved payroll bureau).,accountancy-practice-payroll,medium
fdcgroup,FDC Group - Helping Irish Businesses Succeed,fdc.ie,IE,201-500,QUALIFIED,True,accountancy-practice-payroll,https://www.fdc.ie/what-we-do/business-services/,Outsourced Payroll Services | Financial Advisors | Accountatns - FDC - ### UK & EU Compliance Returns FDC can facilitate the submission of UK Income Tax returns. We are registered agents with HMR,strong,-,acquisition of practices,Large Irish practice network; outsourced payroll service line.,accountancy-practice-payroll,medium
accounts-and-legal,Accounts and Legal,accountsandlegal.co.uk,GB,201-500,QUALIFIED,True,accountancy-practice-payroll,https://accountsandlegal.co.uk/payroll-services/,Payroll Services | Accounts and Legal # Payroll Services No more stressing about paying the right tax or being chased by employees for payslips… Our eagle-eyed payroll team take the time-consumin,strong,-,-,-,accountancy-practice-payroll,medium
hillier-hopkins,Hillier Hopkins LLP,hillierhopkins.co.uk,GB,201-500,QUALIFIED,True,accountancy-practice-payroll,https://hillierhopkins.co.uk/services/accounts-support/payroll/,Payroll bureau from Hillier Hopkins # Payroll bureau Peace of mind for you and your employees ## Hillier Hopkins LLP Chartered Accountants & Tax Advisers Call +44 (0)330 024 3200 and discover how,strong,-,payroll director heads growing bureau,Dedicated payroll bureau led by CIPP-qualified Payroll Director.,accountancy-practice-payroll,medium
hendersonloggie,Henderson Loggie,hlca.co.uk,GB,51-200,QUALIFIED,True,accountancy-practice-payroll,https://hlca.co.uk/services/payroll/,"Payroll Services & Compliance Support in Scotland | Henderson Loggie # Payroll Services & Compliance Support Managing payroll is a critical part of running a business, but it can be time-consumin",strong,-,head of payroll appointed,"Explicit ""payroll bureau clients"" language.",accountancy-practice-payroll,medium
brightwater-recruitment,Brightwater Recruitment,brightwater.ie,IE,11-50,QUALIFIED,True,recruitment-umbrella-contractor-payroll,https://www.brightwater.ie/tax-office-information/,"Tax Office Information – Brightwater Recruitment | Permanent, Temp & Contract Jobs in Ireland Tel: +353 1 662 1000 (+35316621000) # Brightwater Flexible Hiring Solutions - AWRI - Terms of Engagem",weak,-,-,Irish recruiter running its own in-house payroll for temp/contract workers (own payroll depts in Dublin and Cork).,accountancy-practice-payroll,high
moore-ireland,Moore Ireland,mooreireland.ie,IE,201-500,QUALIFIED,True,accountancy-practice-payroll,https://www.mooreireland.ie/services/tax/payroll/,"Payroll - Moore Ireland ## Payroll outsourcing services in Ireland We provide payroll outsourcing services for Irish businesses that need accurate, compliant and efficient payroll processing. Pay",strong,-,-,-,accountancy-practice-payroll,medium
sopher---co,Sopher + Co,sopherco.com,GB,201-500,QUALIFIED,True,accountancy-practice-payroll,https://sopherco.com/our-people/stavros-stavrou/,"Stavros Stavrou | Sopher + Co ## Stavros Stavrou Payroll Manager With over 15 years’ industry experience, Stavros currently heads up the payroll department at Sopher + Co. Supporting all aspects",strong,-,-,Payroll Manager heads payroll dept servicing a client portfolio.,accountancy-practice-payroll,medium
wilson-partners-limited,Wilson Partners,wilson-partners.co.uk,GB,201-500,QUALIFIED,True,accountancy-practice-payroll,https://www.wilson-partners.co.uk/services/sme/payroll/,"# Payroll ## Your team is your most important customer, so paying your staff is one of the most important things your business does on a regular basis Getting it wrong can mean upset employees, o",strong,-,-,-,accountancy-practice-payroll,medium
eq-accountants,"EQ Accountants, part of the Sumer Group",eqaccountants.co.uk,GB,201-500,QUALIFIED,True,accountancy-practice-payroll,https://www.eqaccountants.co.uk/services/business-services/,"Payroll & Bookkeeping - EQ Chartered Accountants # Payroll & Bookkeeping Juggling the financial and operational side of your business, at the same time as actually running the business, is not ea",strong,-,acquired into Sumer Group (2023),Part of Sumer Group roll-up.,accountancy-practice-payroll,medium
lovewellblake,Lovewell Blake,lovewell-blake.co.uk,GB,201-500,QUALIFIED,True,accountancy-practice-payroll,https://www.lovewell-blake.co.uk/services/outsourcing-and-hr/payroll-for-business,"Payroll outsourcing | Lovewell Blake # Payroll Outsourcing Our ever more popular payroll outsourcing services are cost effective, convenient and supportive. Call us on 0800 6526623 Get in touch C",strong,-,-,-,accountancy-practice-payroll,medium
smartpa,SmartPA,smart-pa.com,GB,201-500,QUALIFIED,True,accountancy-practice-payroll,https://smart-pa.com/en-us/our-services/bookkeeping,Outsourced Bookkeeping Services | SmartPA Call now: 0330 202 1110 (+44330-202-1110) Become a SmartPA # Bookkeeping Services ## Qualified Bookkeeping & Payroll Assistants We manage your business's,strong,-,-,Outsourced admin/back-office firm providing bookkeeping and payroll to client businesses.,accountancy-practice-payroll,medium
annamoneyuk,ANNA Money,anna.money,GB,51-200,DISQUALIFIED,False,,-,-,strong,Competitor: sells HMRC-recognised online payroll software to UK small businesses (ANNA Payroll).,-,Competitor hiding in an accountancy list.,accountancy-practice-payroll,medium
crowe-ireland,Crowe Ireland,crowe.com,IE,201-500,QUALIFIED,True,accountancy-practice-payroll,https://www.crowe.com/ie/services/tax/employers-advisory-and-solutions/outsourced-payroll-services,Outsourced payroll services | Crowe Ireland,strong,-,-,Irish practice with outsourced payroll service line (crowe.com/ie).,accountancy-practice-payroll,high
sonstige-software,Sonstige Software,-,GB,51-200,DISQUALIFIED,False,,-,-,none,"Geography: LB Software / Sonstige Software is a Germany-based bookkeeping and payroll freelancer, not UK/ROI.",-,Record also has no domain; data quality poor.,accountancy-practice-payroll,high
kbs-corporate,KBS Corporate,kbscorporate.com,GB,51-200,DISQUALIFIED,False,,-,-,strong,Does not process payroll for clients: corporate finance / M&A brokerage advising on business sales.,-,Payroll pages are deal write-ups about payroll businesses it sold (e.g. ePayMe).,accountancy-practice-payroll,medium
