name,domain,linkedin_url,industry,type,size,followers,founded_year,hq_city,hq_state,hq_country,website
"Kamco Industries, Inc.",kumi-na.com,https://www.linkedin.com/company/kamco-industries-inc.,Automotive,Privately Held,501-1000,775,1987,West Unity,Ohio,United States,https://www.kumi-na.com
"CollisionMax, an ABRA Company",collisionmax.com,https://www.linkedin.com/company/collisionmax,Automotive,Privately Held,1001-5000,763,1976,Glassboro,New Jersey,United States,https://collisionmax.com
IHI Turbo,ihidetroit.com,https://www.linkedin.com/company/ihidetroit,Automotive,Public Company,5001-10000,750,-,Novi,Michigan,United States,https://www.ihidetroit.com
"UnityWorks, Part of J.D. Power",autodatasolutions.com,https://www.linkedin.com/company/unityworks-media,Motor Vehicle Manufacturing,Privately Held,501-1000,739,1990,Minneapolis,Minnesota,United States,https://www.autodatasolutions.com
Jaguar / Aston Martin of Tampa,jaguaroftampa.com,https://www.linkedin.com/company/jaguar-aston-martin-of-tampa,Motor Vehicle Manufacturing,Public Company,501-1000,719,-,-,-,United States,https://www.jaguaroftampa.com
Ridgeview Industries,ridgeviewindustries.com,https://www.linkedin.com/company/ridgeview-industries,Motor Vehicle Manufacturing,Privately Held,501-1000,663,1977,-,-,United States,https://www.ridgeviewindustries.com
Fleetwood Enterprises,fleetwood.com,https://www.linkedin.com/company/fleetwood-enterprises,Motor Vehicle Manufacturing,Public Company,5001-10000,627,-,-,-,United States,https://www.fleetwood.com
JCB Russia,jcb.ru,https://www.linkedin.com/company/jcb-russia,Automotive,Public Company,10001+,565,1945,-,-,United States,https://www.jcb.ru
Electric Vehicle Online Shop | Tesla * Nio * Xpeng * Li Auto * Lucid Motors * Rivian * Fisker * VW,-,https://www.linkedin.com/company/electric-vehicle-online-shop-tesla-nio-xpeng-li-auto-lucid-motors-rivian-fisker-vw,Automotive,Partnership,5001-10000,352,-,-,-,United States,-
Metro New York Porsche Club of America,metronypca.org,https://www.linkedin.com/company/metro-new-york-porsche-club-of-america,Automotive,Nonprofit,1001-5000,221,1955,-,-,United States,https://www.metronypca.org
"Paul Miller, Inc. dba Paul Miller Audi",paulmilleraudi.com,https://www.linkedin.com/company/paul-miller-inc.,Automotive,Privately Held,501-1000,157,1976,Parsippany,New Jersey,United States,https://paulmilleraudi.com
California Car Group,concord-nissan.com,https://www.linkedin.com/company/california-car-group,Automotive,Sole Proprietorship,501-1000,82,2019,Concord,California,United States,https://concord-nissan.com
Durafit Diesel Particulate Filters Dpfs & Diesel Oxidation Catalysts Docs,durafit-exhaust.com,https://www.linkedin.com/company/durafit,Automotive,Privately Held,501-1000,73,1927,Goldsboro,North Carolina,United States,https://durafit-exhaust.com
Jake Sweeney Chrysler Jeep Dodge Ram,jakesweeneychryslerjeepdodge.com,https://www.linkedin.com/company/js-cjdr,Automotive,Privately Held,501-1000,60,1917,Cincinnati,Ohio,United States,https://www.jakesweeneychryslerjeepdodge.com
Công Ty Cổ Phần Thành Công E & C,thanhcongec.vn,https://www.linkedin.com/company/c%c3%b4ng-ty-c%e1%bb%95-ph%e1%ba%a7n-th%c3%a0nh-c%c3%b4ng-e-and-c,Automotive,Privately Held,501-1000,46,-,-,-,United States,https://thanhcongec.vn
ZhongYuan Piston,zypiston.com,https://www.linkedin.com/company/henan-zhongyuan-piston-stock-co-ltd-,Automotive,Public Company,501-1000,39,2000,Mengzhou,Henan,United States,https://www.zypiston.com
Reebook Geek,reebook-geek.com,https://www.linkedin.com/company/reebook-geek,Automotive,Public Company,10001+,31,-,Davis,California,United States,https://www.reebook-geek.com
"Kalida Manufacturing, Inc.",-,https://www.linkedin.com/company/kalida-manufacturing-inc.,Automotive,-,501-1000,26,1996,Kalida,Ohio,United States,-
Excelsior College 1,-,https://www.linkedin.com/company/excelsior-college-1,Automotive,Government Agency,5001-10000,23,-,-,-,United States,-
Gurley Leep Buick GMC Cadillac,gurleyleepgmgiant.com,https://www.linkedin.com/company/gurley-leep-buick-gmc-cadillac,Automotive,Privately Held,1001-5000,20,-,Mishawaka,Indiana,United States,https://gurleyleepgmgiant.com
Car Removal Services,carremovalservices.com.au,https://www.linkedin.com/company/car-removal-services,Automotive,Public Company,501-1000,10,-,Smithfield,-,United States,https://www.carremovalservices.com.au
Vosmer Akademi,vosmer.com.tr,https://www.linkedin.com/company/vosmerakademi,Automotive,Privately Held,501-1000,8,-,-,-,United States,https://www.vosmer.com.tr
Lms New Hire Training- Grp 9,zenkar.com,https://www.linkedin.com/company/linamergrp9,Automotive,Public Company,501-1000,6,2013,San Francisco,California,United States,https://www.zenkar.com
Arrow Buick Gmc,arrowbuickgmc.com,https://www.linkedin.com/company/arrow-buick-gmc,Automotive,-,1001-5000,5,-,-,-,United States,https://arrowbuickgmc.com
Volkswagen Global,-,https://www.linkedin.com/company/volkswagenglobal,Automotive,Public Company,10001+,4,-,-,-,United States,-
"Automotive Supply Associates, Inc.",-,https://www.linkedin.com/company/automotive-supply-associates-inc.,Automotive,-,501-1000,2,1945,Concord,New Hampshire,United States,-
Karna Mereka,-,https://www.linkedin.com/company/karna-mereka,Automotive,Government Agency,501-1000,2,2001,Sunnyvale,California,United States,-
Ford Egypt,fordegypt.com,https://www.linkedin.com/company/ford-eg,Automotive,Partnership,501-1000,-,-,-,-,United States,https://en.fordegypt.com
Werkstattoffen.De,werkstattoffen.de,https://www.linkedin.com/company/werkstattoffen-de,Automotive,Nonprofit,10001+,-,-,-,-,United States,https://werkstattoffen.de
