3D Model,Group,Exhibitor Name,Website,Total Revenue,Industry,Products,ICP
CNC Machine,Machine Tools & Fabrication Machinery,EOS,eos.info,$400M-$500M (est.),Additive manufacturing,Industrial metal and polymer laser powder bed 3D printers,Yes
CNC Machine,Machine Tools & Fabrication Machinery,"Erwin Junker Machinery, Inc.",junker-group.com,$300M-$500M (est.),Grinding machines,High-speed CBN cylindrical grinding machines,Yes
CNC Machine,Machine Tools & Fabrication Machinery,ETXE-TAR USA Corporation,etxe-tar.com,$100M-$200M (est.),Machine tools,Crankshaft machining and laser processing machines,Yes
CNC Machine,Machine Tools & Fabrication Machinery,Fagor Automation North America,fagorautomation.com,$150M-$250M (est.),CNC controls,"CNC controls, linear encoders, motors, drives",Yes
CNC Machine,Machine Tools & Fabrication Machinery,Farsoon Technologies,farsoon.com,$100M (est.),Additive manufacturing,Industrial polymer SLS and metal LPBF 3D printers,Yes
CNC Machine,Machine Tools & Fabrication Machinery,Fives - High Precision Machines,fivesgroup.com,"$2.5B (Fives Group, est.)",Machine tools,Grinding and ultra-precision machining systems,Yes
CNC Machine,Machine Tools & Fabrication Machinery,Fives Cincinnati,fivesgroup.com,"$2.5B (Fives Group, est.)",Machine tools,Composites processing and large machining systems,Yes
CNC Machine,Machine Tools & Fabrication Machinery,Fives Giddings & Lewis,fivesgroup.com,"$2.5B (Fives Group, est.)",Machine tools,"Horizontal boring mills, vertical turning centers",Yes
CNC Machine,Machine Tools & Fabrication Machinery,Fives Grinding Mexico,fivesgroup.com,"$2.5B (Fives Group, est.)",Grinding machines,Grinding machines and services,Yes
CNC Machine,Machine Tools & Fabrication Machinery,Fives Landis Corp.,fivesgroup.com,"$2.5B (Fives Group, est.)",Grinding machines,"Cylindrical, crankshaft and camshaft grinding machines",Yes
CNC Machine,Machine Tools & Fabrication Machinery,Fives Landis Ltd.,fivesgroup.com,"$2.5B (Fives Group, est.)",Grinding machines,Cylindrical grinding machines (UK),Yes
CNC Machine,Machine Tools & Fabrication Machinery,Fives Landis Ltd. / Division Cranfield Precision,fivesgroup.com,"$2.5B (Fives Group, est.)",Grinding machines,Ultra-precision grinding machines,Yes
CNC Machine,Machine Tools & Fabrication Machinery,Fives Liné Machines,fivesgroup.com,"$2.5B (Fives Group, est.)",Machine tools,Large gantry profilers and machining centers,Yes
CNC Machine,Machine Tools & Fabrication Machinery,Flow International,flowwaterjet.com,$200M-$400M (est.),Waterjet cutting,Waterjet cutting systems,Yes
CNC Machine,Machine Tools & Fabrication Machinery,Formlabs,formlabs.com,$250M-$400M (est.),Additive manufacturing,"SLA and SLS 3D printers, materials, software",Yes
CNC Machine,Machine Tools & Fabrication Machinery,Fronius USA LLC,fronius.com,$1B-$1.5B (est.),Welding equipment,"Arc welding systems, solar inverters, chargers",Yes
CNC Machine,Machine Tools & Fabrication Machinery,Fuji Machine America Corporation,fuji.co.jp,$1B (est.),Machine tools & SMT,"CNC lathes, machining automation, SMT placement machines",Yes
CNC Machine,Machine Tools & Fabrication Machinery,Gehring LP,gehring-group.com,$200M-$400M (est.),Honing machines,Honing machines and honing technology,Yes
CNC Machine,Machine Tools & Fabrication Machinery,Gleason Corporation,gleason.com,$500M-$700M (est.),Gear manufacturing technology,"Gear cutting machines, tooling, inspection, and gear design software",Yes
CNC Machine,Machine Tools & Fabrication Machinery,Haas Automation (Student Summit),haascnc.com,$1.5B (est.),CNC machine tools,Student education outreach for Haas CNC machines,Yes
CNC Machine,Machine Tools & Fabrication Machinery,"Haas Automation, Inc.",haascnc.com,$1.5B (est.),CNC machine tools,"Vertical/horizontal machining centers, lathes, and rotary tables",Yes
CNC Machine,Machine Tools & Fabrication Machinery,"Hitachi Industrial Equipment Systems + Hitachi Global Air Power + Telesis Technologies, Inc.",hitachi.com,"$65B (Hitachi group, FY2024)",Industrial equipment,"Air compressors, marking systems, drives, and industrial components",Yes
CNC Machine,Machine Tools & Fabrication Machinery,"Hurco Companies, Inc.",hurco.com,$186M (FY2024),CNC machine tools,"CNC machining centers, lathes, and conversational controls",Yes
CNC Machine,Machine Tools & Fabrication Machinery,"Hwacheon Machinery America, Inc.",hwacheon.com,$200M-$400M (est.),CNC machine tools,"CNC lathes, machining centers, and turning centers",Yes
CNC Machine,Machine Tools & Fabrication Machinery,INDEX Corporation,index-traub.com,"$500M+ (est., parent INDEX Group)",CNC machine tools,"CNC turning centers, multi-spindle and Swiss-type lathes",Yes
CNC Machine,Machine Tools & Fabrication Machinery,Indo-MIM Inc.,indo-mim.com,$100M-$300M (est.),Metal injection molding,"MIM precision components, investment casting",Yes
CNC Machine,Machine Tools & Fabrication Machinery,"Ingersoll Machine Tools, Inc.",ingersoll-mt.com,$100M-$200M (est.),Machine tools,"Large gantry mills, composites and additive machines",Yes
CNC Machine,Machine Tools & Fabrication Machinery,IPG Photonics,ipgphotonics.com,$977M (2024),Laser technology,"Fiber lasers for cutting, welding, marking",Yes
CNC Machine,Machine Tools & Fabrication Machinery,"Jingdiao North America, Inc.",jingdiao.com,"$200M+ (est., parent)",CNC machine tools,High-speed precision CNC machining centers,Yes
CNC Machine,Machine Tools & Fabrication Machinery,JTEKT,jtekt.com,~$12B (FY2024),Bearings and machine tools,"Bearings, machine tools (Toyoda), steering systems",Yes
CNC Machine,Machine Tools & Fabrication Machinery,Junker,junker-group.com,$300M-$500M (est.),Grinding machines,High-speed CBN cylindrical grinding machines,Yes
CNC Machine,Machine Tools & Fabrication Machinery,JYOTI CNC AUTOMATION LTD.,jyoti.co.in,~$150M (FY2024),CNC machine tools,"CNC turning centers, machining centers (Huron brand)",Yes
CNC Machine,Machine Tools & Fabrication Machinery,"Kaeser Compressors, Inc.",kaeser.com,"$1.5B+ (est., parent)",Compressed air systems,"Air compressors, blowers, dryers, compressed air services",Yes
CNC Machine,Machine Tools & Fabrication Machinery,"KAPP Technologies, LP",kapp-niles.com,"~$200M (est., parent KAPP NILES)",Gear machinery,Gear grinding machines and tools,Yes
CNC Machine,Machine Tools & Fabrication Machinery,"KASTO, Inc.",kasto.com,"$200M (est., parent)",Sawing machines,Metal sawing machines and bar storage systems,Yes
CNC Machine,Machine Tools & Fabrication Machinery,"Kitamura Machinery of USA, Inc.",kitamura-machinery.com,$100M-$300M (est.),CNC machine tools,Precision CNC machining centers,Yes
CNC Machine,Machine Tools & Fabrication Machinery,KNOLL America,knoll-mb.com,"$200M-$300M (parent, est.)",Machine tool peripherals,"Chip conveyors, coolant filtration, pump systems",Yes
CNC Machine,Machine Tools & Fabrication Machinery,Komatsu America Corporation,komatsu.com,"$27B (parent, FY2025)",Heavy equipment,"Construction machinery, forging presses, industrial machinery",Yes
CNC Machine,Machine Tools & Fabrication Machinery,Krauss-Maffei Corporation,kraussmaffei.com,$1B (est.),Plastics machinery,"Injection molding, extrusion, and reaction process machinery",Yes
CNC Machine,Machine Tools & Fabrication Machinery,L.K. Machinery,lk.world,"$500M-$700M (parent, est.)",Die casting machinery,"Die casting machines, injection molding, CNC machines",Yes
CNC Machine,Machine Tools & Fabrication Machinery,Laserline GmbH,laserline.com,$100M-$200M (est.),Industrial lasers,High-power diode lasers for welding and cladding,Yes
CNC Machine,Machine Tools & Fabrication Machinery,Leistritz Advanced Technologies Corp.,leistritz.com,"$300M (parent, est.)",Precision machinery,"Whirling machines, screw pumps, turbine blade machining",Yes
CNC Machine,Machine Tools & Fabrication Machinery,"Liebherr Gear and Automation Technologies, Inc.",liebherr.com,"$15B (parent, 2024)",Gear manufacturing machines,"Gear hobbing, shaping, grinding machines, automation",Yes
CNC Machine,Machine Tools & Fabrication Machinery,LNS North America,lns-northamerica.com,"$300M (parent, est.)",Machine tool peripherals,"Bar feeders, chip conveyors, coolant systems, air filtration",Yes
CNC Machine,Machine Tools & Fabrication Machinery,Makino Inc.,makino.com,"$1.5B (parent, est.)",CNC machine tools,"Machining centers, EDM machines, automation",Yes
CNC Machine,Machine Tools & Fabrication Machinery,"Marubeni Citizen-Cincom, Inc.",marucit.com,$100M-$200M (est.),CNC machine tools,Citizen Swiss-type CNC lathes and Miyano turning centers,Yes
CNC Machine,Machine Tools & Fabrication Machinery,Matsuura Machinery USA Inc.,matsuurausa.com,"$200M-$400M (parent, est.)",CNC machine tools,"5-axis and multi-pallet machining centers, hybrid AM",Yes
CNC Machine,Machine Tools & Fabrication Machinery,Mazak,mazakusa.com,"$3B (parent, est.)",CNC machine tools,"CNC turning centers, machining centers, multi-tasking machines",Yes
CNC Machine,Machine Tools & Fabrication Machinery,Mazak (Student Summit),mazakusa.com,"$3B (parent, est.)",CNC machine tools,Student outreach exhibit; CNC machine tools,Yes
CNC Machine,Machine Tools & Fabrication Machinery,Mikron Corporation Monroe,mikron.com,"~$400M (Mikron Group, 2024)",Machine tools,High-precision machining and transfer systems for high-volume parts,Yes
CNC Machine,Machine Tools & Fabrication Machinery,Mitsubishi EDM / MC Machinery Systems Inc.,mcmachinery.com,$100M-$500M (est.),Machine tools,"Wire/sinker EDMs, laser cutting machines, press brakes",Yes
CNC Machine,Machine Tools & Fabrication Machinery,MITSUI SEIKI,mitsuiseiki.com,$100M-$500M (est.),CNC machine tools,"Ultra-precision jig borers, grinders, and 5-axis machining centers",Yes
CNC Machine,Machine Tools & Fabrication Machinery,Nagel Precision Inc.,nagelusa.com,"$100M-$500M (Nagel Group, est.)",Machine tools,"Honing, superfinishing, and precision bore machining systems",Yes
CNC Machine,Machine Tools & Fabrication Machinery,Nicolás Correa,nicolascorrea.com,~$120M (2024),CNC machine tools,Large milling machines and gantry machining centers,Yes
CNC Machine,Machine Tools & Fabrication Machinery,"NIDEC MACHINE TOOL AMERICA, LLC.",nidec-machinetool.com,$100M-$500M (est.),Machine tools,"Gear cutting machines, large machining centers, broaching machines",Yes
CNC Machine,Machine Tools & Fabrication Machinery,"Niigata, Inc.",niigata-mt.co.jp,$100M-$500M (est.),CNC machine tools,Horizontal machining centers for high-precision production,Yes
CNC Machine,Machine Tools & Fabrication Machinery,NSK America Corporation,nskamericacorp.com,"~$400M (Nakanishi group, est.)",Machine tool accessories,"High-speed spindles, micro grinders, and rotary tools",Yes
CNC Machine,Machine Tools & Fabrication Machinery,Okamoto Corporation,okamotocorp.com,$100M-$500M (est.),Machine tools,"Surface, cylindrical, and internal grinding machines",Yes
CNC Machine,Machine Tools & Fabrication Machinery,Okuma America Corporation,okuma.com,"~$1.5B (Okuma group, FY2024)",CNC machine tools,"CNC lathes, machining centers, grinders, and OSP controls",Yes
CNC Machine,Machine Tools & Fabrication Machinery,OMAX Waterjets,omax.com,$100M-$500M (est.),Waterjet cutting,Abrasive waterjet cutting machines,Yes
CNC Machine,Machine Tools & Fabrication Machinery,PAMA SpA,pama.it,~$150M (est.),CNC machine tools,Horizontal boring mills and floor-type milling machines,Yes
CNC Machine,Machine Tools & Fabrication Machinery,Porite Corporation,porite.co.jp,$100M-$500M (est.),Powder metallurgy,Sintered bearings and powder metal components,Yes
CNC Machine,Machine Tools & Fabrication Machinery,Prusa Research,prusa3d.com,$100M-$200M (est.),3D printing,Desktop FDM and SLA 3D printers and filaments,Yes
CNC Machine,Machine Tools & Fabrication Machinery,Quintus Technologies,quintustechnologies.com,$100M-$500M (est.),High pressure equipment,Hot/cold isostatic presses and sheet metal forming presses,Yes
CNC Machine,Machine Tools & Fabrication Machinery,Rollomatic Inc.,rollomatic.ch,$100M-$200M (est.),Grinding machines,"CNC tool and cutter grinders, laser cutting machines",Yes
CNC Machine,Machine Tools & Fabrication Machinery,Rosler Metal Finishing USA,rosler.com,$300M-$500M (est.),Surface finishing,"Mass finishing and shot blasting equipment, consumables",Yes
CNC Machine,Machine Tools & Fabrication Machinery,Senfeng Laser USA Inc.,senfenglaser.com,$100M-$300M (est.),Laser machinery,"Fiber laser cutting, welding, and cleaning machines",Yes
CNC Machine,Machine Tools & Fabrication Machinery,"Shibaura Machine Co., America",shibaura-machine.co.jp,$900M-$1B (est.),Machine tools,"Injection molding machines, die casting, and machine tools",Yes
CNC Machine,Machine Tools & Fabrication Machinery,Shigiya (USA) Ltd.,shigiya.co.jp,$100M-$300M (est.),Grinding machines,CNC cylindrical grinders,Yes
CNC Machine,Machine Tools & Fabrication Machinery,"SLM Solutions NA, Inc.",slm-solutions.com,$100M-$150M (est.),Additive manufacturing,Metal laser powder bed fusion 3D printers,Yes
CNC Machine,Machine Tools & Fabrication Machinery,SMEC America Corp.,smec.co.kr,$200M-$400M (est.),CNC machine tools,"CNC lathes, machining centers, and turning centers",Yes
CNC Machine,Machine Tools & Fabrication Machinery,SNK America Inc.,snkamerica.com,$100M-$300M (est.),Machine tools,"Large 5-axis profilers, bridge mills, and machining centers",Yes
CNC Machine,Machine Tools & Fabrication Machinery,"Sodick, Inc.",sodick.com,$400M-$500M (est.),EDM machines,"Wire and sinker EDM, laser, and injection molding machines",Yes
CNC Machine,Machine Tools & Fabrication Machinery,Soraluce,soraluce.com,$100M-$300M (est.),Machine tools,"Milling-boring machines, floor-type and gantry milling centers",Yes
CNC Machine,Machine Tools & Fabrication Machinery,"SPINNER North America, LLC",Unknown,$100M-$200M (est.),CNC machine tools,Precision CNC lathes and turning centers,Yes
CNC Machine,Machine Tools & Fabrication Machinery,Star CNC Machine Tool Corp.,starcnc.com,$300M-$500M (est.),CNC machine tools,Swiss-type CNC automatic lathes,Yes
CNC Machine,Machine Tools & Fabrication Machinery,Stratasys,stratasys.com,$570M (2024),Additive manufacturing,"Polymer 3D printers, materials, and printing services",Yes
CNC Machine,Machine Tools & Fabrication Machinery,Sugino,sugino.com,$200M-$400M (est.),Machine tools,"Drilling units, waterjet cutting, deburring, self-feed machining units",Yes
CNC Machine,Machine Tools & Fabrication Machinery,Suhner USA,suhner.com,$200M-$400M (est.),Power tools and machining units,"Machining units, flexible shafts, abrasive power tools",Yes
CNC Machine,Machine Tools & Fabrication Machinery,Sunnen Products Company,sunnen.com,$100M-$250M (est.),Honing machines,"Honing machines, tooling, abrasives, bore sizing systems",Yes
CNC Machine,Machine Tools & Fabrication Machinery,"SW North America, Inc.",sw-machines.com,"$400M-$600M (group, est.)",CNC machine tools,Multi-spindle CNC machining centers and automation,Yes
CNC Machine,Machine Tools & Fabrication Machinery,"SYNTEC TECHNOLOGY CO., LTD.",syntecclub.com,$100M-$300M (est.),CNC controls,"CNC controllers, servo drives, motors",Yes
CNC Machine,Machine Tools & Fabrication Machinery,Thorlabs,thorlabs.com,$700M-$1B (est.),Photonics,"Optics, optomechanics, lasers, photonics equipment",Yes
CNC Machine,Machine Tools & Fabrication Machinery,Tox Pressotechnik L.L.C.,tox-pressotechnik.com,$100M-$200M (est.),Joining/press systems,"Clinching systems, press drives, assembly presses",Yes
CNC Machine,Machine Tools & Fabrication Machinery,TRAK Machine Tools,trakmt.com,$100M-$150M (est.),CNC machine tools,"Toolroom CNC mills, lathes, ProtoTRAK controls",Yes
CNC Machine,Machine Tools & Fabrication Machinery,Tsugami America,tsugamiamerica.com,"$500M-$700M (group, est.)",CNC machine tools,Swiss-type lathes and precision turning centers,Yes
CNC Machine,Machine Tools & Fabrication Machinery,Vollmer of America Corp.,vollmer-group.com,$100M-$200M (est.),Grinding/eroding machines,"Tool and saw sharpening, grinding, and eroding machines",Yes
CNC Machine,Machine Tools & Fabrication Machinery,WAFIOS Machinery Corporation,wafios.com,$150M-$250M (est.),Wire/tube forming machines,"Spring coiling, wire bending, tube forming machinery",Yes
CNC Machine,Machine Tools & Fabrication Machinery,Waldmann Lighting,waldmannlighting.com,$100M-$200M (est.),Industrial lighting,Machine tool and workplace LED luminaires,Yes
CNC Machine,Machine Tools & Fabrication Machinery,"WALDRICH COBURG NA, Inc.",waldrich-coburg.de,$100M-$300M (est.),Large machine tools,"Portal milling machines, large grinding and planing machines",Yes
CNC Machine,Machine Tools & Fabrication Machinery,WEILER North America Corporation,weiler.de,$150M-$250M (est.),Machine tools,Precision cycle-controlled and CNC lathes,Yes
CNC Machine,Machine Tools & Fabrication Machinery,"WEIMA America, Inc.",weima.com,$100M-$150M (est.),Size reduction machinery,"Shredders and briquetting presses for wood, plastics, metal chips",Yes
CNC Machine,Machine Tools & Fabrication Machinery,WFL Millturn Technologies GmbH & Co. KG,wfl.at,$150M-$250M (est.),Machine tools,MILLTURN multitasking complete machining centers,Yes
CNC Machine,Machine Tools & Fabrication Machinery,Willemin-Macodel Inc.,willemin-macodel.com,$100M-$150M (est.),Machine tools,High-precision multi-axis machining centers,Yes
CNC Machine,Machine Tools & Fabrication Machinery,xTool,xtool.com,$100M-$500M (est.),Laser engraving machines,Desktop laser cutters and engravers,Yes
,Machine Tools & Fabrication Machinery,Adelbert Haas LLC,multigrind.com,$50M-$100M (est.),Grinding machines,Multigrind CNC tool and production grinding machines,Near-ICP
,Machine Tools & Fabrication Machinery,Advanced Machine & Engineering,ame.com,$50M-$100M (est.),Machine tool components,"Workholding, spindle interfaces, carbide saws, and crash protection",Near-ICP
,Machine Tools & Fabrication Machinery,ALZMETALL Machine Tools USA Inc.,alzmetall.de,$50M-$100M (est.),Machine tools,Drill presses and CNC machining centers,Near-ICP
,Machine Tools & Fabrication Machinery,AXYZ Routers and WARDJET Waterjets,axyz.com,$50M-$100M (est.),CNC routers and waterjets,CNC routers and waterjet cutting systems,Near-ICP
,Machine Tools & Fabrication Machinery,bavius technologie gmbh,bavius.eu,$50M-$100M (est.),CNC machine tools,Large 5-axis machining centers for aerospace structural parts,Near-ICP
,Machine Tools & Fabrication Machinery,Belotti America Inc,belotti.com,$50M-$100M (est.),CNC machine tools,5-axis CNC machining centers for composites and aluminum,Near-ICP
,Machine Tools & Fabrication Machinery,Berger Gruppe,Unknown,$50M-$100M (est.),Grinding machines,"Grinding, polishing, and finishing machines",Near-ICP
,Machine Tools & Fabrication Machinery,Bost Machine Tools Company S.L.U.,bost.es,$50M-$100M (est.),CNC machine tools,"Large vertical lathes, horizontal lathes, and multitasking machines",Near-ICP
,Machine Tools & Fabrication Machinery,"Brinkmann Pumps, Inc.",brinkmannpumps.com,$50M-$100M (est.),Industrial pumps,Coolant pumps and filtration for machine tools,Near-ICP
,Machine Tools & Fabrication Machinery,BURKHARDT + WEBER,burkhardt-weber.de,$50M-$100M (est.),CNC machine tools,Heavy-duty horizontal machining centers,Near-ICP
,Machine Tools & Fabrication Machinery,C.R. Onsrud Inc.,cronsrud.com,$50M-$100M (est.),CNC machine tools,"CNC routers and machining centers for wood, composites, metals",Near-ICP
,Machine Tools & Fabrication Machinery,"Cosen Saws, North America",cosensaws.com,$50M-$100M (est.),Sawing machinery,Band saw machines for metal cutting,Near-ICP
,Machine Tools & Fabrication Machinery,DATRON USA,datron.com,$60M-$80M (est.),CNC machine tools,High-speed CNC milling machines and dental mills,Near-ICP
,Machine Tools & Fabrication Machinery,DoALL Sawing Products,doall.com,$50M-$100M (est.),Sawing machinery,"Band saws, saw blades, and cutting fluids",Near-ICP
,Machine Tools & Fabrication Machinery,ELB-Schliff,elb-schliff.de,$50M-$100M (est.),Grinding machines,Surface and profile grinding machines,Near-ICP
,Machine Tools & Fabrication Machinery,Epilog Laser,epiloglaser.com,$50M-$100M (est.),Laser systems,CO2 and fiber laser engraving and cutting machines,Near-ICP
,Machine Tools & Fabrication Machinery,"FERMAT Machine Tool, s.r.o.",fermatmachinery.com,$50M-$100M (est.),Machine tools,"Horizontal boring mills, floor-type machining centers",Near-ICP
,Machine Tools & Fabrication Machinery,FPT Industrie S.P.A.,fptindustrie.com,$50M-$100M (est.),Machine tools,Milling machines and boring mills,Near-ICP
,Machine Tools & Fabrication Machinery,Gesenkschmiede Schneider GmbH,Unknown,$50M-$100M (est.),Forging,Drop-forged steel components for automotive and industrial use,Near-ICP
,Machine Tools & Fabrication Machinery,GLORYSTAR GROUP INC,glorystarlaser.com,$50M-$100M (est.),Laser machinery,Fiber laser cutting and marking machines,Near-ICP
,Machine Tools & Fabrication Machinery,GMN USA,gmnusa.com,$50M-$100M (est.),Spindle technology,"High-speed spindles, precision bearings, seals, and clutches",Near-ICP
,Machine Tools & Fabrication Machinery,Gnutti Transfer spa,gnuttitransfer.com,$50M-$100M (est.),Machine tools,Transfer machines for high-volume precision machining,Near-ICP
,Machine Tools & Fabrication Machinery,"GWEIKE TECH CO., LTD",Unknown,$50M-$100M (est.),Laser machinery,"Fiber laser cutting, marking, and engraving machines",Near-ICP
,Machine Tools & Fabrication Machinery,Hatsan silah makina kalip san. ve tic. a.ş,hatsan.com.tr,$50M-$100M (est.),Firearms and precision manufacturing,"Air rifles, shotguns, and precision mold/machining capabilities",Near-ICP
,Machine Tools & Fabrication Machinery,Hiperbaric - Hot Isostatic Pressing (HIP),hiperbaric.com,$50M-$100M (est.),High pressure equipment,Hot isostatic pressing and high-pressure processing systems,Near-ICP
,Machine Tools & Fabrication Machinery,HYDMECH,hydmech.com,$50M-$100M (est.),Sawing equipment,Horizontal and vertical metal cutting bandsaws,Near-ICP
,Machine Tools & Fabrication Machinery,Innse-Berardi S.p.A.,innse-berardi.com,$50M-$150M (est.),Machine tools,Large milling machines and vertical lathes,Near-ICP
,Machine Tools & Fabrication Machinery,KADIA Inc.,kadia.com,"~$50M (est., parent)",Honing machines,Honing machines and deburring systems,Near-ICP
,Machine Tools & Fabrication Machinery,"KNUTH Machine Tools USA, Inc.",knuth.com,$50M-$100M (est.),Machine tools,Conventional and CNC machine tools,Near-ICP
,Machine Tools & Fabrication Machinery,LAP of America Laser Applications,lap-laser.com,"$50M-$100M (parent, est.)",Laser systems,Laser projection and laser measurement systems,Near-ICP
,Machine Tools & Fabrication Machinery,Lapmaster Wolters,lapmaster-wolters.com,$50M-$150M (est.),Surface finishing machines,"Lapping, polishing, and fine grinding machines",Near-ICP
,Machine Tools & Fabrication Machinery,"Manufacturing Technology, Inc",mtiwelding.com,$50M-$100M (est.),Friction welding,Friction and rotary welding machines and services,Near-ICP
,Machine Tools & Fabrication Machinery,Mayfran International,mayfran.com,$50M-$150M (est.),Machine tool peripherals,Chip conveyors and coolant filtration systems,Near-ICP
,Machine Tools & Fabrication Machinery,Modern Industries,modernind.com,$50M-$100M (est.),Contract manufacturing,"Precision machining, heat treating, and contract manufacturing services",Near-ICP
,Machine Tools & Fabrication Machinery,MTI,mtiwelding.com,$50M-$100M (est.),Welding equipment,Friction welding machines and welding services,Near-ICP
,Machine Tools & Fabrication Machinery,Nomura DS,nomura-ds.com,$50M-$100M (est.),CNC machine tools,Swiss-type CNC lathes and compact machining centers,Near-ICP
,Machine Tools & Fabrication Machinery,NUM Corporation,num.com,$50M-$100M (est.),CNC controls,"CNC control systems, drives, and motors",Near-ICP
,Machine Tools & Fabrication Machinery,OTT-JAKOB,ott-jakob.de,$50M-$100M (est.),Machine tool components,Spindle clamping systems and tool clamping technology,Near-ICP
,Machine Tools & Fabrication Machinery,OTT-JAKOB Spanntechnik GmbH,ott-jakob.de,$50M-$100M (est.),Machine tool components,Spindle clamping systems and tool clamping technology,Near-ICP
,Machine Tools & Fabrication Machinery,Parpas America Corp.,parpas.com,$50M-$100M (est.),CNC machine tools,High-speed milling machines and gantry machining centers,Near-ICP
,Machine Tools & Fabrication Machinery,Pietro Carnaghi USA Inc.,pietrocarnaghi.com,$50M-$100M (est.),CNC machine tools,Vertical turning lathes and gantry milling machines,Near-ICP
,Machine Tools & Fabrication Machinery,Precitrame America Corporation,precitrame.com,$50M-$100M (est.),Machine tools,Rotary transfer machines and multi-spindle machining centers,Near-ICP
,Machine Tools & Fabrication Machinery,Prototek Digital Manufacturing,prototek.com,$50M-$100M (est.),Contract manufacturing,"Rapid prototyping, CNC machining, sheet metal, and 3D printing",Near-ICP
,Machine Tools & Fabrication Machinery,Raise3D Technologies,raise3d.com,$50M-$100M (est.),3D printing,Professional FDM 3D printers,Near-ICP
,Machine Tools & Fabrication Machinery,Royal Products,royalproducts.com,$50M-$100M (est.),Machine tool accessories,"Live centers, collets, bar pullers, and mist collectors",Near-ICP
,Machine Tools & Fabrication Machinery,RUF Briquetting Systems,ruf-briquetter.com,$50M-$100M (est.),Recycling equipment,Briquetting presses for metal chips and residues,Near-ICP
,Machine Tools & Fabrication Machinery,Savage Saws / Inductoheat,inductoheat.com,$50M-$200M (est.),Sawing and induction heating,Carbide circular saws and induction heating equipment,Near-ICP
,Machine Tools & Fabrication Machinery,Schelling America,schelling.com,$50M-$200M (est.),Sawing machines,Precision plate and panel saws for metals and composites,Near-ICP
,Machine Tools & Fabrication Machinery,Setco,setco.com,$50M-$100M (est.),Spindles,"Precision spindles, slides, and spindle repair services",Near-ICP
,Machine Tools & Fabrication Machinery,"Supfina Machine Company, Inc.",supfina.com,$50M-$100M (est.),Superfinishing machines,"Superfinishing, fine grinding, and flat finishing machines",Near-ICP
,Machine Tools & Fabrication Machinery,Thermwood Corporation,thermwood.com,$50M-$100M (est.),CNC machinery,CNC routers and large-scale additive manufacturing (LSAM),Near-ICP
,Machine Tools & Fabrication Machinery,Thielenhaus Microfinish Corp.,thielenhaus.com,$50M-$100M (est.),Superfinishing machines,Superfinishing and microfinishing machines,Near-ICP
,Machine Tools & Fabrication Machinery,UNISIG Deep Hole Drilling Systems,unisig.com,$50M-$100M (est.),Machine tools,"Deep hole drilling machines, gundrills, automation",Near-ICP
,Machine Tools & Fabrication Machinery,Walker Forge,walkerforge.com,$50M-$100M (est.),Forging,Custom closed-die steel forgings,Near-ICP
,Machine Tools & Fabrication Machinery,Walther Trowal LLC,walther-trowal.com,$50M-$100M (est.),Surface finishing equipment,"Vibratory finishing, shot blasting, and coating systems",Near-ICP
