company_name,standardised_domain,company_linkedin_tag,geography,company_size,industry
Andustry GmbH,andustry.com,andustry-ai,DE,1-10,
Industrial Group,industrialgroup.ch,,CH,11-50,
Androschin & Partner Management Consulting GmbH,androschin.com,androschin-partner,CH,11-50,
Ivancic Digital Marketing Inc.,ivancic.ca,,CA,1-10,
"Wuxi XLM Co, Ltd",wxxlmkj.com,,US,1-10,
"Partsimony, Inc.",partsimony.com,partsimony,US,1-10,
ideazmeet,ideazmeet.com,ideazmeet,IN,1-10,
Independent Distributors Association,idaparts.org,independent-distributors-association,US,1-10,
Quick Release (Automotive) Ltd,quickrelease.co.uk,quick-release-limited,GB,201-500,
OutSmart,outsmart.co.in,outsmartmarketing,IN,1-10,
Handsonales,handsonsales.com,13228143,US,1-10,
Focus PDM,focuspdm.com,focus-product-design-inc.,US,1-10,
MyProcurement,gomyprocurement.com,go-my-procurement,GB,1-10,
Supply-Graph,supply-graph.io,supply-graph,FR,1-10,
BERATUNGHABICH Unternehmensberatung GmbH,beratunghabich.de,habich-unternehmensberatung-gmbh,DE,1-10,
Ultra Consultants,ultraconsultants.com,ultra-consultants,US,51-200,
Hagman Search,hagmansearch.com,hagman-search-group,US,1-10,
Market Veep,marketveep.com,market-veep,US,11-50,
"Eastern Analytics, Inc.",eastern-analytics.us,eastern-analytics,US,1-10,
Industrial Marketing,industrialmarketing.es,industrial-marketing-ventas,ES,1-10,
Korneev Growth Group,korneev-m.ru,,RU,1-10,
partix,partix.de,,DE,11-50,
Weaith Vision,weaithvision.com,,TW,1-10,
Shanahan Strategy Inc.,shanahanstrategy.com,shanahanstrategy,US,1-10,
More Components Engine S.r.l.,epcpartscatalogues.it,,IT,small,
Stratedge,stratedgeco.com,stratedgeco,US,11-50,
Ana Guerra,anaguerra.ai,,,small,
EMEA B2B,emeab2b.com,,AU,11-50,
Find My Factory AB,findmyfactory.eu,findmyfactory,SE,1-10,
3DPM,3dprintingmarkets.com,3dprintingmarkets,FR,1-10,
One Foot Over,getonefootover.com,getonefootover,US,1-10,
Cad and Cart,cadandcart.com,cadandcart,IN,11-50,
PARTsolutions,partsolutions.com.br,partsolutions-llc,BR,11-50,
Connected Solutions,cs-boston.com,,US,1-10,
Digital Brand Builders,digitalbrandbuilders.in,,IN,1-10,
Industry Component,industrycomponent.com,,CN,1-10,
Industrial Aftermarket Group,aftermarket-group.com,aftermarket-group,DE,1-10,
MASS Group,massgroup.com,massgroupinc,US,11-50,
Hamburg Analytics EDS GmbH,hamburg-analytics.de,hamburg-analytics,DE,1-10,
Derh Technical Consulting Ltd.,derhconsulting.com,,,11-50,
Part Matters,partmatters.com,partmatters,IN,1-10,
"Industrial Components Manufacturing, LLC",icm-usllc.com,,US,11-50,
AutomotiveKarriere.de,automotivekarriere.de,,DE,11-50,
ProtocoFast S.L.,proto-fast.com,proto-fast,ES,1-10,
Italian Technology Solutions,soltech-italy.com,soltech-italy,IT,11-50,
Wing Smaller-AI,yixiaoke.net,,CN,1-10,
NSG Consulting Inc.,nsgconsultinginc.com,,US,1-10,
First Principles,firstprinciples.fyi,,,small,
KETIV,ketiv.com,ketiv-technologies-inc,US,51-200,
ASPI,aspi.ltd,69200206,IL,1-10,
DataCode Northstar,datakod.com,datakod-yazilim-a-ş,TR,11-50,
IBD,ibd-team.com,ibd-international-business-development-team,CL,11-50,
CADENAS PARTsolutions,partsolutions.com,cadenas-usa,US,11-50,
CiM,cim.ch,cimsg,CH,11-50,
JB Experts,jbexperts.com,jbexperts,IN,1-10,
Vertical Research Partners,verticalresearchpartners.com,vertical-research-partners,US,11-50,
2PM Solutions,2pm.solutions,,US,1-10,
If Else Cloud Ltd.,mesforprecisionmanufacturing.com,if-else-cloud,NZ,1-10,
Digiode Limited Liability Company,digiode.com,digiodeofficial,CN,1-10,
DSME,dpme.ca,developpementpme,CA,11-50,
RevolutionParts,revolutionparts.com,revolutionparts,US,51-200,
Next Step Engineering Solutions LLC,nextsteptotake.com,next-step-engineering-solutions-llc,US,1-10,
MFG,mfg.com,mfgcom,US,501-1000,
